43;0;0;7;30097687
53;0;0;15;30093116
36;0;12;11;30084311
29;0;25;7;30087315
67;0;0;6;30076545
62;0;6;24;30082846
42;11;22;12;30088017
56;0;29;9;30089231
0;0;100;6;30094361
27;0;12;30;30072063
50;0;22;10;30092495
8;0;9;12;30092565
0;0;50;11;30087979
33;0;0;3;30093398
18;0;15;22;30071517
21;0;0;14;30089763
65;15;15;26;30083265
22;33;67;9;30076897
45;0;15;51;30083098
60;0;13;48;30078193
53;0;20;32;30085507
32;6;44;19;30037161
38;13;47;16;30080544
57;0;3;92;30038708
0;0;0;0;30038125
0;0;0;3;30097607
0;0;0;1;30093995
33;0;0;3;30097157
50;0;0;6;30083967
67;0;0;3;30088969
100;0;0;2;30079249
80;0;0;10;30095898
40;0;0;10;30054369
78;0;0;9;30090431
67;0;0;6;30092777
92;0;0;13;30090074
50;0;50;2;30093195
62;0;0;8;30088016
23;0;0;13;30082214
37;2;12;65;30058748
13;11;30;31;30083284
6;3;33;36;30083592
6;13;35;32;30083484
20;10;22;54;30082037
29;10;19;63;30072062
33;11;50;21;30089136
25;17;50;8;30093274
12;17;47;32;30066238
30;1;19;129;30067604
47;3;29;78;30055001
42;5;11;115;30054603
12;23;46;59;30059149
21;15;43;100;30037300
10;6;31;71;30052482
5;4;24;58;30088568
22;7;49;46;30085985
8;14;41;25;30087981
15;11;33;59;30082996
14;14;42;51;30051639
42;13;22;76;30039775
0;0;0;4;30089405
9;0;0;11;30092301
57;0;50;7;30083362
50;0;0;2;30076796
20;40;40;5;30107367
35;4;8;26;30097168
23;0;8;53;30094780
27;0;27;22;30111969
19;8;19;36;30100858
