12;30054596
33;30065177
19;30053403
18;30078566
4;30038039
0;30077533
12;30076569
12;30094200
31;30070963
20;30085899
19;30008347
20;30094431
22;30085108
55;30084030
23;30089313
19;30083755
33;30053773
29;30091043
27;30090910
18;30088918
8;30078614
12;30088340
19;30078520
42;30094050
4;30078751
32;30084071
27;30092781
32;30068400
17;30084441
26;30052742
12;30083462
19;30087985
38;30066388
10;30082039
16;30059921
23;30040381
0;30083069
23;30087850
33;30068536
22;30079110
4;30042957
22;30088478
9;30068832
22;30073338
0;30068119
0;30067280
35;30052361
61;30088735
45;30087773
64;30051978
39;30055495
20;30088637
27;30082961
69;30075252
41;30077891
9;30080942
42;30080674
8;30083465
10;30008405
62;30054763
25;30037685
37;130795
37;30071519
51;30038662
25;30063316
55;30046017
36;30076749
49;30022968
31;30036206
29;30066956
0;30097304
0;30099796
50;30093413
33;30094690
8;30052288
14;30089699
57;30089331
25;30094376
25;30093944
44;30093692
55;30092506
21;30083806
35;30078787
43;30083764
34;30084925
8;30084446
49;30065332
31;30078632
50;30077435
86;30067200
25;30098671
25;30097746
20;30088381
78;30083572
50;30084253
8;30066069
100;30078561
47;30088867
23;30085269
26;30036240
10;132840
0;30097251
18;30092564
14;30060152
20;30107195
14;30107906
12;30108839
45;30107865
15;30090133
13;30099745
100;30108229
38;30097602
4;30104350
47;30092332
33;115324
8;131229
