60;8;25;15;30094036
12;0;12;8;30092709
31;0;40;13;30088730
46;18;27;13;30080591
21;0;38;14;30089249
12;12;75;8;30099174
36;14;43;11;30094292
0;14;43;10;30089190
6;8;15;17;30093266
8;0;9;12;30092565
31;20;40;13;30094011
22;0;29;9;30092994
31;12;25;13;30092623
40;0;33;10;30094811
32;0;20;19;30095701
38;0;20;8;30097255
12;0;19;34;30090928
7;4;28;29;30089703
13;4;29;31;30088384
22;10;35;23;30089567
41;3;17;39;30077836
38;4;15;29;30089388
21;0;18;38;30082169
0;3;17;38;30039082
41;5;17;46;30083019
12;17;47;33;30088753
34;5;31;59;30069051
50;20;41;46;30072819
15;6;26;74;30079346
19;8;17;89;30038707
9;5;28;85;30051659
12;17;39;49;30085763
17;29;57;30;30088906
17;9;29;104;30065540
12;18;27;25;30089788
14;14;39;29;30054281
38;29;36;16;30093829
0;11;50;21;30084765
24;6;28;37;30077659
33;17;48;27;30087791
13;9;21;46;30082405
20;29;79;15;30092270
54;5;16;26;30078991
0;0;0;3;30088286
0;0;0;3;30099956
33;0;0;3;30088284
0;0;100;3;30099107
25;0;0;4;30097235
0;0;0;0;30106740
38;5;15;21;30100382
62;12;25;8;30102376
19;0;31;16;30101722
33;0;0;3;30107028
47;41;59;17;30109698
8;29;52;51;30081039
57;19;28;44;30013776
37;7;24;46;30099425
26;10;48;58;30095231
9;12;29;67;30053219
50;12;38;8;30095244
17;50;67;6;30113006
70;0;20;10;30108275
17;17;50;12;30111608
8;8;33;12;30104710
0;33;33;6;30109954
40;0;0;5;30035831
0;0;0;5;30098670
24;28;44;21;30083154
42;3;19;36;30083319
26;3;11;38;30082413
12;5;22;42;30051061
47;11;39;30;30068327
8;0;36;25;30078612
21;15;55;24;30082775
79;5;5;24;30093040
39;2;15;41;30068544
38;0;24;21;30082404
32;3;16;40;30077232
14;5;20;96;30036640
26;17;38;27;30086230
21;18;42;39;30084675
11;4;38;27;30090994
31;7;26;94;30074185
8;24;56;37;30083068
18;6;28;38;30066984
36;15;38;70;30007358
31;8;27;67;30084579
34;43;70;50;30076700
31;42;77;29;30066244
19;5;30;59;30083230
18;10;46;56;30082990
22;22;49;41;30077373
41;5;11;113;30054603
3;7;46;64;30066450
34;37;56;32;30069132
13;17;48;31;30066238
36;5;20;92;30079420
48;5;18;135;30005068
37;5;25;106;30061517
30;21;42;53;30066543
24;19;47;45;30083646
15;1;7;108;30021858
54;9;30;39;30093762
9;5;40;23;30093019
36;0;10;44;30084630
10;12;36;29;30089789
19;12;32;27;30084000
42;12;31;31;30088339
15;6;14;39;30083066
21;13;20;19;30089604
21;44;59;63;30067041
10;25;56;145;30035829
28;26;51;105;30050485
12;6;25;65;30053757
21;3;20;70;30076505
17;9;28;60;30083613
13;1;14;102;30055681
24;6;29;51;30083998
21;11;40;66;30078248
4;11;43;49;30089456
18;11;40;38;30088184
8;11;23;118;30007138
21;1;19;140;30018943
19;14;48;62;30085621
15;13;28;100;30037372
5;14;41;73;30053263
7;23;49;45;30082505
19;14;52;32;30087343
13;22;59;30;30088109
19;19;42;53;30072831
15;12;29;73;30083110
12;22;51;50;30074298
14;14;42;51;30051639
11;6;38;38;30066402
38;4;18;58;30052529
33;56;67;12;30089760
30;22;52;27;30077196
14;39;67;21;30088238
61;4;21;49;30084750
15;3;15;71;30035512
55;10;39;31;30084266
33;8;22;43;30083758
47;19;29;36;30083783
44;14;36;16;30092584
7;8;19;29;30052905
4;6;29;50;30089720
31;4;14;51;30092052
60;20;40;5;30112688
46;19;42;26;30108265
0;20;55;21;30111309
0;7;36;14;30110563
10;0;10;10;30112253
30;6;22;33;30097830
60;0;20;5;30095408
0;53;79;19;30103938
10;22;46;63;30092191
10;40;65;20;30070297
0;0;0;1;30113550
33;12;38;9;30109703
32;21;45;38;30098437
55;11;33;11;30089345
25;4;18;56;30090418
11;15;47;35;30094498
16;5;21;44;30100024
10;9;21;67;30088973
14;0;18;22;30107343
14;10;41;105;30091914
4;8;27;52;30093801
14;30;54;37;30099124
25;7;46;28;30108041
5;14;64;22;30104096
6;11;33;18;30105060
12;0;12;8;30113280
50;29;29;10;30098750
80;0;33;5;30098505
38;0;17;8;30097392
0;0;75;8;30092340
62;0;0;8;30082613
33;0;75;6;30098979
25;0;0;4;30099051
25;0;0;4;30098473
19;17;50;16;30093820
61;24;29;23;30092669
54;14;48;24;30093709
18;36;64;17;30093958
19;5;55;21;30094514
29;73;73;14;30092230
19;40;80;16;30093129
6;29;86;17;30093619
31;40;40;13;30092469
15;60;80;13;30094690
0;0;38;10;30092559
50;22;44;12;30094139
27;20;50;11;30092524
50;14;29;10;30093385
25;6;53;20;30092532
6;7;21;17;30093023
33;25;38;12;30093409
19;13;27;16;30095585
8;0;30;13;30092302
25;7;21;16;30092660
31;25;25;13;30093394
41;5;15;121;30055238
18;10;46;56;30082990
17;16;35;42;30082774
47;5;20;77;30078523
26;7;26;94;30059590
31;15;32;51;30077848
36;8;50;14;30088612
19;54;88;32;30079925
16;2;28;98;30064866
38;11;33;58;30084251
29;2;21;52;30076754
0;8;31;29;30087327
6;12;47;18;30093024
27;17;37;33;30088523
12;53;93;17;30088025
22;8;54;27;30092749
50;18;32;42;30082406
17;15;55;24;30087986
7;10;17;57;30077293
17;21;47;41;30082379
29;3;27;65;30076980
4;7;26;154;30009727
2;15;46;62;30074060
13;14;50;77;30078239
6;28;62;33;30085752
14;16;56;28;30089064
12;10;39;89;30009927
17;7;36;47;30081071
13;14;47;84;30066236
23;40;69;43;30084868
37;4;22;148;133381
39;17;40;66;30066982
14;16;48;28;30088232
21;30;51;39;30089356
12;36;55;25;30086211
51;37;61;41;30083577
2;32;74;40;30075069
4;32;73;25;30090112
21;9;36;47;30082511
17;45;45;12;30093268
30;22;43;40;30088368
9;20;60;11;30094617
39;20;53;18;30089894
28;14;45;47;30082146
28;15;38;29;30089489
46;18;36;24;30095774
15;0;5;20;30081144
68;6;28;22;30070381
55;4;31;31;30084464
61;29;57;18;30076750
75;17;30;28;30069065
62;0;4;53;30076593
76;0;12;42;30079749
71;27;45;17;30087452
65;15;15;26;30083265
4;0;45;24;30090647
71;0;25;7;30098752
0;0;0;5;30098918
82;0;6;22;30094203
91;0;0;11;30092570
17;23;50;30;30100415
10;16;31;51;30098229
21;13;36;70;30089295
0;29;57;7;30111846
25;4;8;24;30097654
20;0;0;5;30097424
17;50;67;6;30113006
8;25;42;12;30111902
62;3;18;39;30078549
18;18;59;22;30105612
7;15;59;27;30105479
21;4;25;24;30104725
30;6;22;33;30097830
30;30;50;10;30111316
41;25;38;17;30098552
30;12;31;20;30089406
41;3;17;39;30077836
42;31;44;19;30092687
57;21;29;14;30093035
17;8;31;29;30085620
44;0;16;57;30069131
36;0;10;44;30084630
6;3;24;36;30052279
18;0;9;38;30085197
41;0;19;22;30094197
30;67;100;10;30088550
11;0;40;18;30095706
43;5;21;42;30038041
60;3;31;35;30077481
28;36;79;18;30087847
14;19;50;29;30083072
30;22;52;27;30077196
32;3;16;40;30077232
19;5;55;21;30094514
45;11;24;40;30083234
6;3;33;36;30083592
5;3;28;39;30079926
10;12;36;29;30089789
6;13;37;31;30083484
26;3;15;70;30070360
14;5;23;42;30077987
30;23;38;43;30079248
15;6;26;74;30079346
13;10;35;86;30072822
12;11;34;48;30077700
10;6;27;67;30080952
7;9;29;61;30083470
4;7;30;105;30051656
0;0;0;0;30106740
8;10;30;62;30057898
36;18;55;11;30100407
14;0;14;7;30108604
43;14;57;7;30113730
32;4;22;47;30092162
15;14;37;80;30089922
0;22;45;51;30096053
11;21;48;56;30095988
50;0;0;2;30100936
22;16;50;32;30101817
12;31;62;16;30110705
22;33;44;9;30107208
17;23;50;30;30100415
59;11;21;22;132031
60;0;0;5;30092777
17;4;22;30;30082620
16;11;34;49;30053765
13;0;29;31;30089138
13;4;33;55;30073618
10;21;49;40;30007433
23;12;35;61;30083363
16;18;29;31;30083324
17;9;29;104;30065540
31;0;40;13;30088730
11;17;33;9;30097806
33;25;38;12;30093409
88;0;0;8;30092712
56;0;0;18;30081991
25;14;29;8;30093191
50;0;27;18;30093319
25;0;0;16;30077713
33;0;12;9;30094731
10;22;44;10;30090311
25;8;25;16;30078468
60;0;17;10;30099199
72;3;14;40;30067893
16;7;47;19;30083535
0;29;57;16;30077337
60;33;33;10;30093694
21;0;46;14;30095680
26;7;42;46;30077838
7;17;38;28;30084449
26;11;37;39;30067627
37;15;42;30;30087892
27;11;33;30;30090542
2;6;19;50;30083040
21;3;20;70;30076505
34;5;31;59;30069051
28;4;35;50;30068130
47;15;15;15;30093791
20;8;31;30;30086140
36;11;33;22;30088858
28;18;35;18;30094732
38;4;15;29;30089388
3;0;32;31;30087913
9;5;40;23;30093019
10;28;44;21;30093412
9;9;30;47;30078249
4;4;23;50;30077877
10;7;36;31;30091050
45;6;22;20;30083184
36;0;10;44;30084630
19;12;32;27;30084000
12;18;27;25;30089788
16;2;5;56;30077325
26;3;15;70;30070360
45;11;24;40;30083234
13;9;31;38;30085066
13;0;29;39;30088180
7;17;38;28;30084449
37;15;42;30;30087892
24;6;28;37;30077659
26;7;42;46;30077838
39;21;46;28;30089333
60;8;25;15;30094036
50;0;0;10;30094106
22;0;29;9;30092994
38;0;22;13;30088602
33;25;38;12;30093409
25;0;0;8;30092544
6;8;15;17;30093266
35;0;12;20;30088091
32;0;12;19;30095252
31;12;25;13;30092623
57;12;32;46;30086218
24;11;37;41;30082665
17;9;28;60;30083613
13;12;29;52;30079861
20;5;27;59;30054402
12;9;27;48;30088265
13;1;14;102;30055681
33;28;39;21;30087729
50;20;41;46;30072819
15;12;29;73;30083110
19;8;17;89;30038707
14;14;42;69;30079002
12;7;22;112;30078540
1;10;31;71;30080425
17;23;50;30;30100415
10;16;31;51;30098229
21;13;36;70;30089295
0;29;57;7;30111846
25;4;8;24;30097654
20;0;0;5;30097424
17;50;67;6;30113006
8;25;42;12;30111902
62;3;18;39;30078549
18;18;59;22;30105612
7;15;59;27;30105479
21;4;25;24;30104725
30;6;22;33;30097830
30;30;50;10;30111316
41;25;38;17;30098552
19;0;8;63;30085478
17;21;46;24;30105452
14;0;14;7;30108604
67;0;0;3;30114696
14;33;50;7;30108765
18;8;31;28;30097184
46;19;42;26;30108265
27;0;4;26;30107849
0;19;38;26;30103249
25;4;18;56;30090418
64;14;43;14;30081072
44;0;22;9;30107206
7;14;29;28;30105473
45;15;50;40;30085380
4;9;26;23;30111317
9;4;23;106;30081578
5;11;29;57;30097057
24;5;14;45;30091034
0;29;57;7;30111846
0;40;80;5;30099840
50;0;0;10;30094106
22;38;62;9;30095056
40;0;44;10;30093413
0;0;40;6;30094379
38;0;40;8;30098709
33;0;0;6;30088806
62;0;0;8;30083894
56;2;14;54;127041
