Heste_navn;Navn;Id_nr;inntjent;Dato
Neslands Lynet;Neslands Loke;125647;0;2019-05-12
Fanny va Bene;Vanity Va Bene;30022845;35.000;2019-05-12
Lord Ratzeputz;Mr. Ratzeputz;30036059;63.299;2019-05-12
Grand Commander;Master And Commander;30054443;0;2019-05-12
Balder Odin;Fodnes Balder;30066297;0;2019-05-12
Odd Harmonia;Odd Hera;30084314;0;2019-05-12
Lady Lara;Ty Lara;30088751;255.500;2019-05-12
Milan;Mila;30092555;0;2019-05-12
Brunello Hall;Mellby Brunello;30095388;0;2019-05-12
Rappoda;Rappodina*;30098447;0;2019-05-12
Nicky Me;Rock Me;30103134;106.500;2019-05-12
Peder Mykla;Peder Mykla*;30072057;847.868;2019-05-11
Lucky Kentucky;Global Kentucky ;30049764;226.500;2019-05-11
Madelen L.T.C.;Repetition L.T.;130582;1.263.187;2019-05-11
Valle Grim;Bakkeli Grim;133108;170.500;2019-05-10
High Hopes;High Chanel;30004900;0;2019-05-10
Arja Oda;Arja Lina;30066237;0;2019-05-10
Lygna Sjur;Stjerne Sjur;30068205;0;2019-05-10
Talomen Ø.K.;Tønder Ø.K.;30097250;18.500;2019-05-10
Emma Buitenzorg;Emma Buitenzorg (NL);30100003;186.420;2019-05-10
Havik di Quattro;Havik di Quattro (S);30104749;12.000;2019-05-10
Nashville Yankee;Nashville Yankee* (S);30110564;93.322;2019-05-10
Xita Lavec;Xita Lavec (S);30112684;185.760;2019-05-10
Hands Up;Hands Up (NL);30113276;165.894;2019-05-10
Tigerdrottningen;Tigerdrottningen (S);30113629;59.836;2019-05-10
Concerto De Lou;Concerto De Lou (FR);30115166;134.998;2019-05-10
Diesolo de la Lune;Diesolo de la Lune (FR);30120794;12.000;2019-05-10
Bless You;Bless You (DK);30115457;67.987;2019-05-09
Bastian Lendalund;Bastian Lendalund (DK);30116263;257.276;2019-05-09
Tedo O.K.;Tedo O.K. (IT);30111969;170.829;2019-05-09
O.M. Erinus;O.M. Erinus (S);30106080;71.500;2019-05-09
Ultimo Tango;Ultimo Tango (S);30107809;413.922;2019-05-09
Digital Star;Digital Star (S);30099124;312.949;2019-05-09
Corsa d'Amour;Corsa d'Amour (DE);30100321;149.827;2019-05-09
Jasmin Sund;Jasmin Sund (S);30100382;86.500;2019-05-09
Digital Bronze;Digital Bronze (S);30100412;269.939;2019-05-09
From Zero To Hero;Hero Touch;30077018;120.500;2019-05-09
Dirtballer;Dirtballer (US);30085478;115.000;2019-05-09
Wagtail Happyharry;Wagtail Happyharry (S);30078549;81.000;2019-05-09
O.M. Corpentino;O.M. Corpentino (S);30095556;165.516;2019-05-09
Escaped;Escaped (NL);30095230;190.546;2019-05-09
Pompano Reza;Pompano Reza (S);30095233;236.690;2019-05-09
Bertoni;Bertil;30087787;193.500;2019-05-09
Trespasser;Trespasser (S);30089018;409.500;2019-05-09
Yarrah;Yarrah Jet;30093270;0;2019-05-08
Anthony Downs;Anthony Downs (DK);30093455;344.000;2019-05-08
Aksel Pedro;Princess Pedro;30079032;0;2019-05-08
Revenator;King Senator;30082511;0;2019-05-08
Nordby Fyr;Nordby Frøya;30082849;0;2019-05-08
Olav;Åsaolava;30082991;0;2019-05-08
Bona Fide;Bona Mi* (S);30073286;0;2019-05-08
Bjørnemyr Dennis;Bjørnemyr Vinna;30066248;125.193;2019-05-08
Bolt Challenger;Bolt;30066019;0;2019-05-08
Celine Rush;Celine Tuna (S);30006042;123.603;2019-05-08
Enjoyable;Enjoyable Shadow* (S);30005232;182.000;2019-05-08
Hjertlig;Hjertusota;133115;0;2019-05-08
J.T.'s Kiwi;J.T.'s Vacation;30009322;12.000;2019-05-08
Bonjour d'Estino;Victor d'Estino;30009959;0;2019-05-08
Burning Love E.P.;Burning Love* (S);30048049;0;2019-05-08
Cici Moseby;Moseby Lady;30052782;78.460;2019-05-08
M.T.Kingofthehill;M.T.Kingofthehill* (S);30104036;678.824;2019-05-08
Isabel B.R.;Isadora B.R.;30104180;12.000;2019-05-08
Heinz B.R.;Ira B.R.;30104183;51.236;2019-05-08
Encore un Sisu;Encore un Sisu (S);30098552;213.000;2019-05-08
Odins Kaizer;Vestpol Kaizer;30097030;0;2019-05-08
Viva Las Vegas E.P.;Viva la Vida* (S);30097831;0;2019-05-08
N.Y. Rosslyn;N.Y. Rose Line;30097754;0;2019-05-08
Faust Boko;Faust Boko (S);30106575;479.716;2019-05-08
Exciting Chip;Exciting Chip (S);30107263;236.000;2019-05-08
Global Tess;Global Tess* (S);30111350;267.306;2019-05-08
Ruthless;Ruthless* (S);30108071;119.479;2019-05-08
Syoss;Syoss (DE);30109206;454.950;2019-05-08
Eerin Am;Eerin Am (S);30111763;120.887;2019-05-08
Conrads Carl;Conrads Carl (S);30113395;60.094;2019-05-08
Believe La Marc;Believe La Marc (DK);30114786;123.242;2019-05-08
Park View;Park View (S);30116969;323.634;2019-05-08
Euklid A.T.;Euklid A.T. (RS);30118324;226.094;2019-05-08
Guccio Fortuna;Guccio Fortuna (DE);30115997;228.219;2019-05-08
Abrakadabra;Abrakadabra* (S);30116001;62.007;2019-05-08
Global U.Neverknow;Global U.Neverknow (S);30115325;202.013;2019-05-08
Uni Lest;Uni Lest (IT);30114831;320.205;2019-05-08
Iasi;Iasi (DE);30119258;218.820;2019-05-08
Chio Gilbak;Chio Gilbak (DK);30120637;151.779;2019-05-07
Bivo Torkdahl;Bivo Torkdahl (DK);30114879;347.494;2019-05-07
David K.;David K. (S);30112066;54.622;2019-05-07
Royal Unibrew;Royal Unibrew* (S);30112318;4.894;2019-05-07
Primero Greentown;Greenbank* (S);30107028;27.000;2019-05-07
Spang Turbo;Spang Tussi;30104843;0;2019-05-07
Miss Point;Miss Point*;30097424;58.174;2019-05-07
Sajama;Sajama (S);30099818;59.000;2019-05-07
Wayne Brogård;Wayne Brogård (DK);30104252;598.373;2019-05-07
Sitje Victor;Sitje Eld;30104326;0;2019-05-07
Faxen Af Sola;Dronning Af Sola;30103816;0;2019-05-07
Egon Lobell;Egon Lobell (NL);30101301;149.174;2019-05-07
Tverdals Odin;Tverdals Audin;30053953;0;2019-05-07
Mjølner Faksine;Mjølner Faksa;30046899;0;2019-05-07
Wessel Odina;Wessel Odin;30016885;0;2019-05-07
Hassel Frøkna;Vassbø Frøkna;30008879;0;2019-05-07
Hold Me Quick;Kiss Me Quick;131229;161.715;2019-05-07
Nattbris;Nattfrost* (S);128156;0;2019-05-07
Odas Eld;Aas Eld;127360;3.500;2019-05-07
Piglet Pil;Pål Pil;116597;83.200;2019-05-07
Matadore;Matador Ås* (S);30065958;16.583;2019-05-07
Silke Diamant;Silke Chasmina;30068657;0;2019-05-07
Bee Mine;Be Mine* (S);30095976;0;2019-05-07
Fighting Joe;Fighting Joe* (S);30096182;481.448;2019-05-07
C Nu Gilbak;Nu Love S.S.;30094364;118.851;2019-05-06
Wanna be a Star;Wanna be a Star* (S);30095244;124.306;2019-05-06
Runaway Train;Runaway Train* (S);30092332;187.907;2019-05-06
Classic Sun;Capri Sun;30089139;0;2019-05-06
Langlands Høvding;Langlands Odin;30088612;0;2019-05-06
Jærvsøælva;Jærvsøælva (S);30066739;171.233;2019-05-06
Fit For Fortissimo;Shocking For Nothing;30072276;0;2019-05-06
Alone Man S.T.;Alone Man S.T. (S);30081578;387.947;2019-05-06
The Best Knight;The Dark Knight;30084068;75.500;2019-05-06
Polar Rocky;Hot Rocky;126501;299.991;2019-05-06
Liv Synnøve;Lykkje Liv;132304;0;2019-05-06
C.C. Boy;C.C. Boy*;30053260;382.750;2019-05-06
R.M.G. Red Red Wine;R.M.G. Lady In Red;30103438;0;2019-05-06
Admirals Club;Mellby Club* (S);30104037;0;2019-05-06
Arild Mølgård;Arild Mølgård (DK);30100724;163.801;2019-05-06
Bestbyarsenal;Bestbyarsenal (DK);30100728;460.772;2019-05-06
Brasil;Brasil (DK);30100729;254.861;2019-05-06
Wika Lendalund;Wika Lendalund (DK);30098653;242.640;2019-05-06
Langlands Gnisten;Gnisten;30097543;0;2019-05-06
Coventina va Bene;Coventina va Bene (S);30104482;116.000;2019-05-06
Freaky Friday;Black Friday;30105104;425.643;2019-05-06
Tres Bien I.T.;Tres Bien I.T. (IT);30105712;187.158;2019-05-06
Farah Diba River;Farah Diba River (NL);30107197;337.200;2019-05-06
Daddy's Angel;Daddy's Angel (S);30107906;259.500;2019-05-06
Cirkeline Day;Cirkeline Day (DK);30108839;117.260;2019-05-06
Spirit Yankee;Spirit Yankee* (S);30110563;146.940;2019-05-06
Elvis Ruda;Elvis Ruda (S);30112253;178.854;2019-05-06
Wild Hot Shot;Wild Hot Shot* (FI);30112198;145.715;2019-05-06
Veams Last Athos;Veams Last Athos (S);30113692;10.000;2019-05-06
Casper the Viking;Call The King (DK);30117787;0;2019-05-06
Global Almighty;Global Almighty (S);30116973;2.947;2019-05-06
The Noble One;The Noble One* (S);30116904;128.325;2019-05-06
Chianti Merci;Chianti Merci (S);30118804;69.609;2019-05-06
Armani Flamingo;Armani Flamingo (DK);30119669;79.826;2019-05-06
Another Creation;Another Dream* (DK);30117016;0;2019-05-05
Boynton;Boynton (S);30115465;168.524;2019-05-05
Tallahassee;Tallahassee (S);30109703;321.861;2019-05-05
Sellanrå;Sillan Springrose* (FI);30106641;0;2019-05-05
Tracy Kronos;Tracy Kronos (IT);30104909;413.264;2019-05-05
Frøyu Fanten;Frøyu Ravn;30097269;0;2019-05-05
Daisy Rich;Rocky Rich;30098979;0;2019-05-05
Kjølstad Trollvilja;Kjølstad Trollvinn;30099042;2.000;2019-05-05
Respect;Respect (S);30101999;126.399;2019-05-05
Voyle Lina;Horgen Lina;30057199;0;2019-05-05
K.B.'s Rubina;R.B.K. Frøkna;30052909;21.000;2019-05-05
Golden Brunette;Golden Queen;30051618;0;2019-05-05
Hauan Balder;Hauan Blesen;30052519;0;2019-05-05
Ask Leo;Leo (DK);30006056;0;2019-05-05
Sitje Lilly;Nice Filly;30022848;0;2019-05-05
H.M. Lovely Comers;H.M. Norne Rose;30022966;0;2019-05-05
Lættis;B.B. Letti;128419;0;2019-05-05
Henry Speed;Tor Henry;129237;0;2019-05-05
Helmin Støva;Helmin Stjerna;123110;0;2019-05-05
Symphonie H.;Winnie H.;30067552;17.153;2019-05-05
Skeie Hans;Hans Eme* (S);30063725;0;2019-05-05
Drakar;Brenne Brakar;30088938;0;2019-05-05
Gary Hoist;Gary Hoist (FI);30087684;761.151;2019-05-05
Hades Håleryd;Hades Håleryd (S);30090540;882.277;2019-05-05
Desperatehousewife;Desperatehousewife (S);30096759;315.689;2019-05-05
Edson Boko;Edson Boko (NL);30095331;299.342;2019-05-05
Radieux;Radieux (IT);30095396;3.538.217;2019-05-04
Delec Hanover;Delec Hanover (US);30095772;514.000;2019-05-04
Olimpionico;Olimpionico (IT);30092364;742.484;2019-05-04
Voje Maren;Voje Mai;30092690;485.960;2019-05-04
Pingus Vang;Pingus Vang (DK);30070297;3.140.053;2019-05-04
Winmecredit;Winmecredit* (US);30076773;5.294.390;2019-05-04
Counterstrike;Goldstrike;127732;135.514;2019-05-04
Boris;Boris Palema (S);30016937;205.228;2019-05-04
Dag Frøya;Dag Støvar;30050895;64.000;2019-05-04
Donatomite;Donatomite (US);30103938;2.162.037;2019-05-04
Tip Esterel;Tip Esterel (DK);30099136;750.659;2019-05-04
Air Speed;Air Speed (DK);30099520;145.500;2019-05-04
Hoogerland;Hoogerland (DE);30097242;364.588;2019-05-04
Hopeful Tooma;Hopeful Tooma (S);30097239;464.647;2019-05-04
Easy Tolli T.;Easy Tolli T. (S);30104725;135.268;2019-05-04
Carl Lewis;Carl Lewis (NL);30104945;573.741;2019-05-04
Ulisse Kronos;Ulisse Kronos (IT);30108483;631.882;2019-05-04
M.S. Triple J.;M.S. Triple J. (US);30115983;581.995;2019-05-04
Paulino;Paulino (DE);30116790;142.391;2019-05-04
Gigolo N.L.;Gigolo N.L.* (NL);30116827;242.111;2019-05-04
Brage Hindø;Brage Hindø (DK);30114773;149.492;2019-05-04
Charming Boom Bay;Charming Boom Bay (DK);30119349;91.679;2019-05-04
Harbour Eightysix;Harbour Eightysix (DE);30121187;172.197;2019-05-04
Staro Key West;Staro Key West (S);30119985;81.435;2019-05-03
Thundering Lover;Thundering Lover (US);30119390;444.186;2019-05-03
Ervin Boko;Ervin Boko (NL);30114772;312.050;2019-05-03
Ursula Horse;Ursula Horse (IT);30113280;450.905;2019-05-03
A Child;A Child (DK);30115543;74.344;2019-05-03
Gigi Follo;Gigi Follo (S);30110949;301.737;2019-05-03
Song Of Eline;Song Of Redemption;30105935;0;2019-05-03
Paddington Face;Paddington Face (S);30107884;383.424;2019-05-03
Tåga Prinsen;Tåga Prinsen (S);30097295;60.000;2019-05-03
Reiremo Tomas;Reiremo Ruggen;30097475;0;2019-05-03
Dave Briggs;Dave Briggs (US);30097654;394.494;2019-05-03
Cool Canadian;Cool Canadian (S);30101137;327.153;2019-05-03
Grude Bambi;Kuven Bambi;30053066;0;2019-05-03
Song Of Rat Pack;Song Pay;123532;0;2019-05-03
Kilestjerna;Ødelistjerna;124707;118.500;2019-05-03
Charlie Skovsende;Charlie;118868;72.617;2019-05-03
Lykkje Silje;Lannem Silje;30068892;0;2019-05-03
Årdals Blesa;Årdals Lise;30082144;158.000;2019-05-03
Tøffå Ø.K.;Truså Ø.K.;30082223;0;2019-05-03
Kvikk Blesen;Kvikk Blessa;30078459;0;2019-05-03
Önas Julius;Önas Julius (S);30088973;467.597;2019-05-03
Grude Elling;Grude Elle;30095726;0;2019-05-03
Grislesvarten G.L.;Grislefaksen G.L.;30095269;0;2019-05-03
Joe Frazier;Joe Frazier (S);30094188;293.355;2019-05-03
Pompano Reza;Pompano Reza (S);30095233;236.690;2019-05-02
Escaped;Escaped (NL);30095230;186.546;2019-05-02
Soros Kronos;Soros Kronos* (S);30095435;322.749;2019-05-02
Miss Yarrah;Yarrah Jet;30093270;0;2019-05-02
Kaptein;Kaptein Kuling;30090552;162.500;2019-05-02
Livi Nubi;Nubi Lens (DK);30090223;12.106;2019-05-02
Bleeding Heart;Bleeding Heart (US);30085380;344.500;2019-05-02
Lady Revenue;Lindy Revenue;30066261;156.000;2019-05-02
Alice Road;Alice Road (S);30105952;13.000;2019-05-02
Among Hastrup;Among Hastrup (DK);30106085;410.548;2019-05-02
Ejakval Boko;Ejakval Boko (NL);30110948;254.476;2019-05-02
Pay Me Laday;Pay Me Laday (S);30110183;44.080;2019-05-02
Ethiopia River;Ethiopia River (NL);30108020;231.499;2019-05-02
Bless You;Bless You (DK);30115457;64.987;2019-05-02
Chipie d'Yvi;Chipie d'Yvi* (FR);30117476;253.793;2019-05-02
Urra' Del Rio;Urra' Del Rio (IT);30118382;51.300;2019-05-02
Au Fil De l'Aure;Au Fil De l'Aure* (FR);30118853;280.326;2019-05-02
Flying Garbo;Flying Garbo* (S);30119711;72.165;2019-05-02
Vendace;Vendace (S);30119467;19.500;2019-05-01
Helen Boko;Helen Boko (NL);30118604;208.593;2019-05-01
Maxundalex;Maxundalex (DE);30117942;188.896;2019-05-01
Global Undefeded;Global Undefeded (S);30116691;148.000;2019-05-01
What You Want;What You Want (DE);30115999;311.429;2019-05-01
Final Countdown;Final Countdown (NL);30108898;211.139;2019-05-01
Very Esterel;Very Esterel (DK);30108821;587.741;2019-05-01
White Russian;White Russian* (DK);30110269;816.715;2019-05-01
Tiller;Tiller (S);30111317;307.477;2019-05-01
Garfieldz Prinze;Garfieldz Prinze (S);30111309;344.944;2019-05-01
Easy Tolli T.;Easy Tolli T. (S);30104725;135.268;2019-05-01
Wayward;Onewaywind;30103740;219.500;2019-05-01
Feelslikeamillion;Feelslikeaprincess;30103757;0;2019-05-01
Verona Mile;Verona Mile (DK);30100055;244.197;2019-05-01
Caramello P.P.;Caramelle Zon* (S);30098046;92.000;2019-05-01
Loving Lily;Loving Liana;30098121;0;2019-05-01
Anne Bork;Anne Bork (DK);30099516;177.192;2019-05-01
Mos Lomen;Mos Loke;30066641;263.000;2019-05-01
Roberto D.K.;Roberto D.K. (DK);30076693;683.500;2019-05-01
Clumses Vivel;Fivel;115191;13.995;2019-05-01
Chris K.;Chris Pet;125163;128.550;2019-05-01
Vertigo Juvel;Juvel Svarten;132919;0;2019-05-01
Vertigo Rubin;Spang Rubin;30056464;0;2019-05-01
Swinging Face;Swinging Face (DK);30090866;277.634;2019-05-01
Hades Håleryd;Hades Håleryd (S);30090540;882.277;2019-04-30
I.D. Undeniable;I.D. Bornrightafter;30093140;0;2019-04-30
Dream On Plush;Dream On Hanover* (US);30087576;845.572;2019-04-30
Quantanamera;Quantanamera* (S);30087754;1.751.410;2019-04-30
Tornerose Gardenia;Tornerose Gardenia (DK);30094072;235.812;2019-04-30
Dream Creation;Dream Connection* (S);30036686;0;2019-04-30
Goldstile;Lovestile;30037020;504.560;2019-04-30
Veels Pålle;Veels Balder;30033752;0;2019-04-30
Lome Gant;Lome Gynten;133342;536.955;2019-04-30
Hilton Gullet;Haugestad Gullet;30021300;0;2019-04-30
Copiko;Surgy's Copine;123681;7.107;2019-04-30
Hilton Stjernen;Hilton Stjerna;119039;0;2019-04-30
Odd'sen;Odd Sen Toft;118061;0;2019-04-30
Rebellion D.E.;Nefertiti D.E. (DE);30073761;9.768;2019-04-30
Ivana B.R.;Diana B.R.;30076258;0;2019-04-30
Galaxy W.;Adam W.;30066286;236.226;2019-04-30
Dream Briljant;Briljant;30066888;0;2019-04-30
Ivan B.R.;Donovan B.R.;30078964;0;2019-04-30
Glazier's Victoria;Glazier's Vici;30099432;0;2019-04-30
Emma Buitenzorg;Emma Buitenzorg (NL);30100003;186.420;2019-04-30
Ivar Sånna;Ivar Sånna (S);30101036;3.836.964;2019-04-30
Farrah Diba;Farah Diba River (NL);30107197;0;2019-04-30
Ewald F. Boko;Ewald F. Boko (DE);30109984;829.627;2019-04-30
Skytten Lisl;Skytten Lisl (S);30115271;431.520;2019-04-30
Chio Gilbak;Chio Gilbak (DK);30120637;151.779;2019-04-30
Sir M.M.;Sir M.M.* (S);30120055;88.462;2019-04-29
Dan Mølgård;Dan Mølgård (DK);30119447;85.606;2019-04-29
Merles Song;Merles Song* (S);30119387;24.293;2019-04-29
Armani Flamingo;Armani Flamingo (DK);30119669;71.826;2019-04-29
Eclair Sisu;Eclair Sisu* (S);30119489;61.927;2019-04-29
Dayenne Lane;Dayenne Lane (NL);30118145;397.060;2019-04-29
Tigerdrottningen;Tigerdrottningen (S);30113629;59.836;2019-04-29
Sangria Knight;Sangria Knight (S);30113834;493.961;2019-04-29
Quick Tilly;Quick Tilly (S);30111990;254.310;2019-04-29
Primero Greentown;Greenbank* (S);30107028;19.000;2019-04-29
Ultimo Tango;Ultimo Tango (S);30107809;413.922;2019-04-29
Coventina va Bene;Coventina va Bene (S);30104482;116.000;2019-04-29
Zola Sirena;Zola Sirena (S);30105804;193.537;2019-04-29
Jasmin Sund;Jasmin Sund (S);30100382;86.500;2019-04-29
Seabreeze Ås;Seabreeze Ås (US);30097390;360.367;2019-04-29
Wagtail Happyharry;Wagtail Happyharry (S);30078549;78.000;2019-04-29
The Best Knight;The Dark Knight;30084068;75.500;2019-04-29
Polar Rocky;Hot Rocky;126501;299.991;2019-04-29
Nordby Eir;Nordby Sleipner;30034725;6.500;2019-04-29
Tekno Teddy;Tekno Odin;30036347;328.838;2019-04-29
Pave Faks;Pave Jerkila;30046017;1.173.182;2019-04-29
Fighting Joe;Fighting Joe* (S);30096182;474.448;2019-04-29
Todays Shotgun;Todays Shotgun (S);30096713;629.847;2019-04-29
Prayer Ås;Prayer Ås (S);30087218;585.585;2019-04-29
Cool Counter M.E.;Royal Princess M.E.;30093205;53.000;2019-04-28
Prodigious Hangover;Contagious Hangover;30092434;0;2019-04-28
Evita Skovsende;Shocking Evita;30045708;0;2019-04-28
Uppers Unbeatable;Unbeatable;30054441;0;2019-04-28
Cici Moseby;Moseby Lady;30052782;78.460;2019-04-28
Hauan Balder;Hauan Blesen;30052519;0;2019-04-28
Delago;Delamain;30051639;0;2019-04-28
Lættis;B.B. Letti;128419;0;2019-04-28
Droseld;Drosen;128999;84.000;2019-04-28
Starlight Morning;Kiwi Bright Morning;124083;65.500;2019-04-28
Orient Avenue;First Avenue;30010388;75.903;2019-04-28
Blazing Volo;Sizzling Volo (US);30079827;0;2019-04-28
Go Without I.D.;Go D.Aragorn* (S);30075999;0;2019-04-28
Frøyu Fanten;Frøyu Ravn;30097269;0;2019-04-28
Wayne Brogård;Wayne Brogård (DK);30104252;595.373;2019-04-28
Isabel B.R.;Isadora B.R.;30104180;0;2019-04-28
Heinz B.R.;Ira B.R.;30104183;48.236;2019-04-28
Speed and Power;Speed and Power (S);30107928;50.000;2019-04-28
Xanthis Amazing;Xanthis Amazing* (S);30108495;640.678;2019-04-28
Royal Unibrew;Royal Unibrew* (S);30112318;2.894;2019-04-28
Abby Sisa;Abby Sisa (DK);30113690;73.782;2019-04-28
Euklid A.T.;Euklid A.T. (RS);30118324;221.094;2019-04-28
Delicious Babe;Delicious Babe (DK);30119030;47.858;2019-04-28
Dream Gardenia;Dream Gardenia (DK);30119254;6.000;2019-04-28
Diesolo de la Lune;Diesolo de la Lune (FR);30120794;0;2019-04-28
Önas Ior;Önas Ior* (S);30121586;167.299;2019-04-27
Guccio Fortuna;Guccio Fortuna (DE);30115997;212.219;2019-04-27
Ervin Boko;Ervin Boko (NL);30114772;296.050;2019-04-27
All Reasons;All Reasons* (S);30114759;181.613;2019-04-27
Happy Dragon;Happy Dragon (DE);30112335;192.050;2019-04-27
Tallahassee;Tallahassee (S);30109703;316.861;2019-04-27
Gigi Follo;Gigi Follo (S);30110949;301.737;2019-04-27
Nashville Yankee;Nashville Yankee* (S);30110564;77.322;2019-04-27
Tres Bien I.T.;Tres Bien I.T. (IT);30105712;182.158;2019-04-27
Egon Lobell;Egon Lobell (NL);30101301;144.174;2019-04-27
Respect;Respect (S);30101999;110.399;2019-04-27
Exit River;Exit River (S);30101959;202.308;2019-04-27
Sølljerva;Ulljerka;30077462;0;2019-04-27
Dirtballer;Dirtballer (US);30085478;113.000;2019-04-27
Bork Viking;Bork Odin;132083;0;2019-04-27
J.T.'s Kiwi;J.T.'s Vacation;30009322;0;2019-04-27
Gertorps Viljaleva;Negards Vilja;30007858;166.352;2019-04-27
Kilestjerna;Ødelistjerna;124707;118.500;2019-04-27
Lille Senumsprinsen;Lille Simen;120887;182.000;2019-04-27
Nordsjø Vinni;Nordli Vinni;126124;0;2019-04-27
Saturn;Saturn (DK);30092052;147.985;2019-04-27
Zorbas Rose;Zorba* (S);30087877;0;2019-04-27
Grace Yoga;Grace Yoga (S);30095956;167.756;2019-04-27
Doremi;Doremi (S);30093801;319.553;2019-04-27
Dante Kievitshof;Dante Kievitshof (DE);30094170;246.893;2019-04-27
C Nu Gilbak;Nu Love S.S.;30094364;113.851;2019-04-26
Europa;Eurora;30094294;110.500;2019-04-26
Desperatehousewife;Desperatehousewife (S);30096759;313.689;2019-04-26
Fender Boko;Fender Boko (S);30088539;233.500;2019-04-26
Önas Julius;Önas Julius (S);30088973;451.597;2019-04-26
Odas Eld;Aas Eld;127360;0;2019-04-26
Helmin Støva;Helmin Stjerna;123110;0;2019-04-26
Kolbu Kaizer;Kolbu Kasper;132548;0;2019-04-26
C.C. Boy;C.C. Boy*;30053260;377.751;2019-04-26
Silkespika;Silkespika*;30085918;294.297;2019-04-26
Jærvsøælva;Jærvsøælva (S);30066739;163.233;2019-04-26
Place Your Bet;Place Your Bet (S);30107020;375.362;2019-04-26
Prime Directive;Prime Directive (S);30111316;99.503;2019-04-26
Very Esterel;Very Esterel (DK);30108821;583.741;2019-04-25
Final Countdown;Final Countdown (NL);30108898;211.139;2019-04-25
Exciting Chip;Exciting Chip (S);30107263;236.000;2019-04-25
Paddington Face;Paddington Face (S);30107884;380.424;2019-04-25
Livi Keepsake;Livi Keepsake (S);30107496;40.249;2019-04-25
Easy Tolli T.;Easy Tolli T. (S);30104725;132.268;2019-04-25
Corsa d'Amour;Corsa d'Amour (DE);30100321;149.827;2019-04-25
Capitano S.L.;Capitano S.L. (S);30099810;47.000;2019-04-25
Mos Lomen;Mos Loke;30066641;263.000;2019-04-25
Roberto D.K.;Roberto D.K. (DK);30076693;667.500;2019-04-25
Rebellion D.E.;Nefertiti D.E. (DE);30073761;9.768;2019-04-25
Royal Sensation E.;Royal Banker E.;30082688;151.000;2019-04-25
Dag Frøya;Dag Støvar;30050895;48.000;2019-04-25
Lovers Hall;Lovers Lane;30036570;222.532;2019-04-25
Chris K.;Chris Pet;125163;128.550;2019-04-25
Clumses Vivel;Fivel;115191;13.995;2019-04-25
Zulu Mai;Zulu Elden;113277;0;2019-04-25
A Million To One;A Million To One (S);30089017;189.000;2019-04-25
Officer Kronos;Officer Kronos (IT);30091814;289.485;2019-04-25
Livi Nubi;Nubi Lens (DK);30090223;12.106;2019-04-25
Delec Hanover;Delec Hanover (US);30095772;509.000;2019-04-25
Veggie Hanover;Veggie Hanover (US);30095571;264.153;2019-04-25
Unik Gardenia;Unik Gardenia (DK);30094896;224.534;2019-04-25
Barbarella;Barbarella (DE);30112347;320.973;2019-04-25
Eerin Am;Eerin Am (S);30111763;114.887;2019-04-25
Tahiti Lady;Tahiti Lady (S);30111902;109.877;2019-04-25
Olimpo Doc;Olimpo Doc (S);30114668;118.934;2019-04-25
Hands Up;Hands Up (NL);30113276;161.894;2019-04-25
What You Want;What You Want (DE);30115999;295.429;2019-04-25
Bless You;Bless You (DK);30115457;61.487;2019-04-25
Legend Seeker;Legend Seeker* (S);30116304;51.896;2019-04-25
Chipie d'Yvi;Chipie d'Yvi* (FR);30117476;253.793;2019-04-25
Cavaca;Cavaca (DK);30119187;151.893;2019-04-25
Chianti Merci;Chianti Merci (S);30118804;62.609;2019-04-25
C.R. Seven;C.R. Seven (DK);30118743;82.079;2019-04-25
Indiana Fortuna;Indiana Fortuna (DE);30120068;46.000;2019-04-24
Tornado Jet;Tornado Jet* (IT);30117430;304.208;2019-04-24
Abrakadabra;Abrakadabra* (S);30116001;57.007;2019-04-24
Humble Hill;Humble Hill* (NL);30117784;449.197;2019-04-24
Ursula Horse;Ursula Horse (IT);30113280;420.905;2019-04-24
Fox Dragon;Fox Dragon (DE);30111851;267.957;2019-04-24
Harley D.E.;Harley D.E. (DE);30113006;324.540;2019-04-24
Anthony Downs;Anthony Downs (DK);30093455;329.000;2019-04-24
Categorical;Categorical*;30092139;381.664;2019-04-24
Fakstrolla;Maestro;30093145;102.057;2019-04-24
High Into the Sky;Into The Sun;30089897;182.958;2019-04-24
King Tanic;Lins Tanic;30088352;0;2019-04-24
Gentle Design;French Design;119920;176.373;2019-04-24
Photo Creation;Creation;133532;0;2019-04-24
Enjoyable;Enjoyable Shadow* (S);30005232;182.000;2019-04-24
Spang Linsi;Spang Lilja;30041211;17.000;2019-04-24
Hugo Bäck;Hugo;30054999;422.796;2019-04-24
Aksel Pedro;Princess Pedro;30079032;0;2019-04-24
Bleeding Heart;Bleeding Heart (US);30085380;339.500;2019-04-24
Holterjerven;Norjerven;30076639;723.176;2019-04-24
Solitario Jet;Solitario Jet (IT);30100915;285.029;2019-04-24
Faxen Af Sola;Dronning Af Sola;30103816;0;2019-04-24
L.J.'s Dreamcatcher;L.J.'s Hedda;30105173;363.795;2019-04-24
Mellby Frodo;Mellby Frodo (S);30106031;297.504;2019-04-24
Dansken;Dansken (DK);30106274;31.651;2019-04-24
Noble Dancer;Noble Dancer* (S);30107858;202.675;2019-04-24
Normandy Flax;Normandy Flax (S);30107301;103.836;2019-04-23
Judd Trump;Judd Trump (DE);30107059;76.177;2019-04-23
Carl Lewis;Carl Lewis (NL);30104945;567.741;2019-04-23
