idnr;uthestenavn
30002231;Alarm     
30002232;Malina     
30002233;Albano 
30002234;Picasso     
30002235;TRONJAMETTE     
30002236;Lamour 
30002237;Capri 
30002238;Threw The Wind 
30002239;Special Touch 
30002240;FELICIA     
30002241;Megasus Endurance 
30002242;Honda 2 
30002243;NENZO     
30002244;Rudolf     
30002260;NERICK D'AR     
30002261;CINDERELLA     
30002262;KAI JOHANSEN     
30002280;Thunder Kievitshof 
30002281;CHECK THAT CAT     
30002282;Flatlis Bjona     
30002283;Solli Balder     
30002284;Bruvin     
30002285;Birk Borkason     
30002286;Rognvik Morgan     
30002287;Ebbe Hiim     
30002288;Gimle     
30002289;Esperlill     
30002290;Tufsa     
30002291;Miller's Daughter 
30002292;Stormo Stijan     
30002293;Angouleme     
30002294;Gazaia 
30002295;Turn to Action 
30002296;Early Action 
30002297;Ramble Rich 
30002298;John Lee     
30002299;TOR PETTER MYGLAND     
30002300;BIRK     
30002301;UNSAFE INVESTMENT     
30002302;ISILDUR     
30002303;GANN FIGHTER     
30002304;QUISLING     
30002305;GOLDEN SNAKE     
30002320;Olla 
30002340;Cassini 
30002363;Ellis Dancer 
30002364;Mephistopheles     
30002365;Lustige     
30002366;Melissa     
30002367;Lancer II     
30002368;Strans Pila     
30002370;Sven 
30002371;GIBRALTAR     
30002372;Optimic 
30002373;Stuart Little 
30002374;Inula     
30002375;Amber Express 
30002377;Stena Surprise 
30002378;Limes     
30002379;Barros Jarpa 
30002380;Gift Way 
30002400;NELSON     
30002403;GREY LOVE     
30002405;Aurelio 
30002406;DIABLO     
30002408;BOSS     
30002409;El Rey 
30002410;Agalaus     
30002411;Ukjent     
30002412;Ukjent     
30002413;Fair Lass     
30002414;Sheik     
30002420;Tough Turtle     
30002421;Chic Tiger     
30002422;Wattan     
30002423;Bron     
30002424;HAMSTER DORE     
30002440;Anita     
30002441;Gabrielle     
30002442;Fun Artist     
30002443;Win Ling     
30002444;Kronborg's Rossini 
30002445;REGIMENT     
30002446;SILKESVARTEN     
30002447;EVELINA     
30002448;LEIF HOSETH     
30002449;MILLE     
30002450;Siscia DH 1331 
30002451;Serenata 
30002452;Soleil 
30002453;Tørsje Stjerna     
30002455;Deemster 
30002457;Mummy's Lodge 
30002459;Sirius 
30002461;MADIKKEN     
30002463;Goldgrape 
30002464;FUNNY FACE     
30002465;Dream Keeper 
30002466;SASABEE     
30002467;King Of York 
30002468;Silver Shadow 
30002469;Champollion 
30002470;GIMINI     
30002471;Winner by an Inch 
30002472;Zoliante St.pr     
30002473;Liebeslied     
30002474;Lady     
30002475;Alraune     
30002476;Alrika     
30002477;Dream Of Heidelberg 
30002478;Freie Liebe     
30002479;Dormello     
30002480;Israel x     
30002481;Resena x     
30002482;Juana     
30002483;Furita     
30002484;Rubin Royal     
30002485;CELINE     
30002486;Furiesa     
30002487;LISI     
30002488;Royal Flash V     
30002501;Black Is Black 
30002503;Lethe 
30002504;Tarragona Hornline 
30002505;REIGER FHOEVER ROY     
30002506;CONDOR     
30002520;Caper Caillie 
30002521;Queen Of The Moor 
30002522;Cashs Goal 
30002523;Cash On The Bar 
30002524;L.A. Renaissance 
30002525;L.A. Lindy 
30002526;Speedy Service 
30002527;Splendid Sprinter 
30002528;Quick Trip 
30002529;Speedy Trip 
30002530;Ego Trip 
30002531;Fuss Along 
30002532;Quickster 
30002533;Ares R.B. 
30002534;That Look 
30002535;Come With Me 
30002536;Space With Me 
30002537;MASAYA     
30002538;Siring's Spiderman     
30002539;KURSARAS     
30002540;DAISY     
30002541;BUFFEN     
30002542;Cut Chief 
30002544;PRINS SKOGAR     
30002545;ROSTI     
30002547;Cat On The Roof 
30002548;Scarpe Rosse 
30002549;Caution Kid 
30002552;Shareholder 
30002554;Calrissian 
30002555;Robbed In Riga     
30002556;Shadwell 
30002557;Ice Pool 
30002558;Keystone Kathy 
30002559;O.U.Guys 
30002560;LIGRELTO     
30002561;Comx 
30002562;Oh Oh Oh 
30002563;MUSKEN     
30002565;MICRO     
30002566;Hoffmann 
30002567;SPOI     
30002568;Sagacity 
30002570;Secret City 
30002571;Joker Brick 
30002573;Urban Desert 
30002581;KLONMEL WEST     
30002582;Fantastic Light 
30002583;Danish Light 
30002584;Kinera 
30002585;Nyssia De Lou 
30002586;Ebora 
30002600;FIA     
30002602;Air Force Eleven 
30002603;Fight For Flaming 
30002604;Unlimited Transs R 
30002620;Isolina 
30002621;Isenburg 
30002622;Livigno 
30002623;Isenburger 
30002624;Vanity Fair 
30002625;Anwalt 
30002626;Siena 
30002627;Eudora 
30002628;Ewalt 
30002629;Itou Lui 
30002630;Catania 
30002631;Claudette 
30002632;Clio 
30002633;Clivia 
30002634;King Jean B.R. 
30002635;Sunny Flower 
30002636;Energy Lucswolle 
30002637;Grand Avenue 
30002638;Lady Of Diamond 
30002639;Vincent W. 
30002640;Noble Florie 
30002641;Quattro 
30002642;Cobra Storm 
30002643;Capisce 
30002644;Caesar T.T. 
30002645;Jolie Fleur 
30002646;Vida Nova 
30002647;Joubert 
30002648;Ketima 
