idnr;uthestenavn
30020318;Alm Status     
30020319;Edsbergs Sofie 
30020321;Xanthis Victory 
30020322;Lo'xia DS 1445     
30020323;Flitze V.I.     
30020324;Alaskafuchs     
30020325;Albatross     
30020326;Canina V.I.     
30020327;Helm     
30020328;Calma     
30020329;Trakenerhoppe     
30020330;Kastor xx     
30020331;Handelskammer     
30020332;Handschelle     
30020333;Hallo DH 953     
30020334;Goldelse     
30020335;Creon     
30020336;Maraene     
30020337;Masur     
30020338;Eiserner Fleiss     
30020339;Sternwarte     
30020340;Sternkind     
30020341;Starlet     
30020342;Ezsra     
30020343;Erzsand     
30020344;Donnerhall     
30020345;Blitzrot     
30020346;Blitzlicht II     
30020347;Major xx E     
30020348;Fenek V xx E     
30020349;Fenék V xx E     
30020350;Siglavy II-22     
30020351;Phaenomen     
30020352;Lapis A     
30020353;Waldhirtin     
30020354;Loewenart     
30020355;Alpenrose     
30020356;Sarina     
30020357;Discont     
30020358;Lara     
30020359;Gruenberg     
30020360;Gazelle     
30020361;Atlantis     
30020362;Alpecho     
30020363;Darling     
30020364;Candidatur     
30020365;Diana     
30020366;Angelina     
30020367;Sabrina III     
30020368;Fee     
30020369;Tin Rod xx     
30020370;Fajade     
30020371;Bajade     
30020372;Optima     
30020373;Duden II     
30020374;Freiheitsglück     
30020375;Winterrose     
30020376;Abendlerche St.pr.     
30020377;Candita     
30020378;Fiat I     
30020379;Firnis     
30020380;Luciano     
30020381;Utate     
30020382;Stella     
30020383;Magdalenchen     
30020384;Emannusella     
30020385;Musterschuetz     
30020386;Zilla     
30020387;Oldenburg     
30020388;Lichtblick     
30020389;Zilla II     
30020390;Rosa S 5870     
30020391;Susi S17277     
30020392;Ricke     
30020393;Gauner     
30020394;Nemi     
30020395;Flade     
30020396;Fahnrich     
30020397;Flichta     
30020398;Faehrmann     
30020399;Carina     
30020400;Maestoso xx     
30020401;Tamino     
30020402;Lanziska     
30020403;Lorentin     
30020404;Banka     
30020405;Isolde     
30020406;Fahre     
30020407;Follywise xx     
30020408;Denisa     
30020409;Konsilia     
30020410;Beluga     
30020411;Ungarin     
30020412;Franzi     
30020413;Heissporn     
30020414;Priamel     
30020415;Hyazinthe     
30020416;Kokobine     
30020417;Corratus DVH 814     
30020418;Annette     
30020419;Badajoz     
30020420;Bibka     
30020421;Bigotka     
30020422;Bigamia     
30020423;Ballerina     
30020424;Elmelunds Ballina     
30020425;Babusa     
30020426;Heimburg     
30020427;Kabria     
30020428;Zapria     
30020429;Felsenmeise     
30020430;Wotansmeise     
30020431;Wolgalerche     
30020432;Domfeme     
30020433;Fockfee     
30020434;Duellgirl St.pr     
30020435;Arka     
30020436;Florette     
30020437;Pamina St.pr     
30020438;Piazza D.Grillo xx     
30020439;Umbrette xx     
30020440;Afrika     
30020441;Montevideo     
30020442;Helminchen     
30020443;Wunderland     
30020444;Valet     
30020445;Credo     
30020446;Elana     
30020447;Shagya IV     
30020448;STORHAUGS SPRINGSONG     
30020449;YLVA     
30020450;ARA QUEEN     
30020451;222 Shagya XVII     
30020452;Shagya XIII     
30020453;Shagya X     
30020454;366 Shagya II     
30020455;664 Shagya X     
30020456;Shagya XX     
30020457;364 Aghil Aga     
30020458;Shagya VII     
30020459;603 Shagya VII     
30020460;457 Dahoman I-10     
30020461;Shagya IX     
30020462;Shagya XII     
30020463;Babolna 
30020464;36 Shagya XVII 
30020465;O'Bajan X 
30020466;Koheilan VIII ox 
30020467;217 Kuhailan Zaid ox 
30020468;9 Koheilan VIII ox 
30020469;31 O'Bajan X 
30020470;187 Gazal II     
30020471;91 Siglavy X 
30020472;Shagya XXXII 
30020473;154 Shagya XXV 
30020474;Radina db Shagya1830 
30020475;298 Shagya III     
30020476;632 Shagya VII     
30020477;384 Aghil Aga     
30020478;Jaszmak ox     
30020479;Koheilan I     
30020480;302 O'Bajan VII     
30020481;71 Shagya XXXVI     
30020482;66 Shagya XXXI     
30020483;Mersuch V ox     
30020484;Mersuch     
30020485;192 Kemir II     
30020486;O'Bajan XIII     
30020487;Titan's Victory     
30020488;NONNI     
30020489;Edeltraud     
30020490;Gesa     
30020491;Fermiza     
30020492;Gebinde     
30020493;Alexa     
30020494;Ludendorff     
30020495;Leisa St.pr.     
30020496;Ferbel     
30020497;Glocke     
30020498;Boleisa     
30020499;Worldly     
30020500;Keanna Ask 
30020501;Biting Gay 
30020502;Fruchtbeere     
30020503;Dompoesie     
30020504;Viggen Briljant 
30020505;Candlelight Bitho 
30020506;Marilyn Monroe 
30020507;Wendelin keur     
30020508;Cendelin     
30020509;Gendelin     
30020510;Nicula ster     
30020511;Wulia     
30020512;Jimtown     
30020513;Roshana M 
30020514;Critical Move 
30020515;Jerry Garcia 
30020516;Joan Baez 
30020517;Udøpt     
30020518;INDI     
30020519;Modus Vivaldi     
30020520;ELECTRA     
30020521;Scirocco 
30020522;Formia Copper Cloud 
30020523;RUBIN     
30020524;IMPULSIVE BAYAZ     
30020525;MASKOTT CHEN     
30020526;NAPHELRO     
30020527;Staro Birdie 
30020528;Ruba¤     
30020529;Mitra¤     
30020530;Nour-e-Jehan¤     
30020531;Ostad¤     
30020532;Jehan Afrouz¤     
30020533;Daria Nour¤     
30020534;Khorshid Kola¤     
30020535;Siyah Gosh¤     
30020536;Sohrab¤     
30020537;Khorshid¤     
30020538;Palang¤     
30020539;Pari¤     
30020540;Taloche¤     
30020541;Aseman¤     
30020542;Fatemeh¤     
30020543;Doueez¤     
30020544;Felfel     
30020545;Mehri¤     
30020546;Secandar Gol¤     
30020547;Dumfries 
30020548;Balsaghar¤     
30020549;Diamond Spring 
30020550;Shirine¤     
30020551;Rostam     
30020552;Ruba II     
30020553;Taliyeh     
30020554;Darius     
30020555;Atesheh     
30020556;Hopstone Tavus     
30020557;Hopstone Shuka     
30020558;Amu Daria     
30020559;Henden Alpha     
30020560;Hopstone Zardalu     
30020561;Hopstone Mustapha     
30020562;Hopstone Lili     
30020563;Forstals Barewa     
30020564;Winstay Roya     
30020565;Karoun     
30020566;Hopstone Banafsheh     
30020567;Hopstone Shabdiz     
30020568;Mehran     
30020569;Henden Zebedee     
30020570;Hopstone Khanum     
30020571;Hopstone Niobe     
30020572;DAWN BREEZE     
30020573;Kor Kjekken     
30020574;Negars Frøya     
30020575;Fill Bang     
30020576;Bokli Jerven     
30020577;Ånøyhuldra     
30020578;Tao Jenta     
30020579;My Number One     
30020580;Mister Pepper     
30020581;Wilma Rudolph     
30020582;Hot Chili     
30020583;Something Stupid     
30020584;Maiamy     
30020585;Tres Jolie     
30020586;Elken Vienne     
30020587;Elken Lad     
30020588;Elve Jokeren     
30020589;Spenda The Korea     
30020590;Hynne Stjerna     
30020591;Tangen Lett     
30020592;Jærkongen     
30020593;Jens Ulrik     
30020594;Firegirl Fresh     
30020595;Bjørntvedt Knekten     
30020596;Tyri Stegg     
30020597;Key Woman     
30020598;HURRAY     
30020599;Henden Regina     
30020600;Kineton Kistam     
30020601;Runnymede Lalah     
30020602;Maroun     
30020603;Blondies Boy 
30020604;Juliane K.     
30020605;Grazina K.     
30020606;Maxémillion     
30020607;Hopstone Spark Ariana     
30020608;Costessa Siyroun     
30020609;Akkurat     
30020610;Hopstone Sasha     
30020611;Persicus Nicky     
30020612;Henden Kikidee     
30020613;Persicus Kouchek Khan     
30020614;Sirhowy Asmanjuni     
30020615;Runnymede Felfel     
30020616;Henden Selina     
30020617;Stesalwick Attila     
30020618;Runnymede Orion     
30020619;Rosmear Ramesh     
30020620;Costessa Fidda     
30020621;Costessa Bucks Fizz     
30020622;Forstals Kukla     
30020623;Gogo Lloyd 
30020624;Princess Bogø 
30020625;Divinator 
30020626;Aneva C. 
30020627;Target Lady 
30020628;Chicken Check 
30020629;Miami Sunrise     
30020630;Steggsjura     
30020631;Celebration     
30020632;Sierra Prelong     
30020633;Copa Del Mundo     
30020634;Herkules     
30020635;ONE VISION     
30020636;Ottokar     
30020637;Edelris     
30020638;Ordner     
30020639;Herluine     
30020640;THORSØS DON CAMILLO     
30020641;PERLA     
30020642;Mølholm Rosetta ROL 5582     
30020643;Trebonius xx     
30020644;Marburg     
30020645;Abendglanz     
30020646;Dolly V.Buer     
30020647;Bianca keur     
30020648;Vindicator     
30020649;Falisco ster     
30020650;Jessica     
30020651;Namanda     
30020652;Sonett DH 983     
30020653;Arztlied     
30020654;Nigro     
30020655;Nadja F38     
30020656;Irina F38     
30020657;Kandida     
30020658;Karina     
30020659;Behla     
30020660;Tarantella 
30020661;Mister K. 
30020662;Lykke Morsø 
30020663;Ronni Morsø 
30020664;Kisser Morsø 
30020665;Dalby Vesla     
30020666;Armbro Motion 
30020667;Taran     
30020668;Jucan Andes     
30020669;Sir Dylan 
30020670;Mystical Andes     
30020671;Ulsrud Tor     
30020672;Ulsrud Troll     
30020673;A.B. Rusken     
30020674;Red Hot Passion     
30020675;Mira Malin     
30020676;Value G.T.     
30020677;Fluberginden     
30020678;S.J.'s Ticket     
30020679;Diadem     
30020680;Dominik De Champs     
30020681;Åsa Mai     
30020682;Røeds Ronja     
30020683;Udøpt     
30020684;World Wide Win     
30020685;Mack     
30020686;Millie Crown     
30020687;Sima Tor     
30020688;Lots Of Pride     
30020689;American Emir     
30020690;Førlands Faksen     
30020691;Odinvind     
30020692;Lillann Stjerna     
30020693;Kim Possible     
30020694;Junior Rigel     
30020695;R.F.'s Pleasure     
30020696;Meemat's Boy     
30020697;Kiro Perla     
30020698;Teodor Barsk     
30020699;Arras     
30020700;Almunda St.pr     
30020701;Dolch     
30020702;Galba     
30020703;Goldfisch I     
30020704;Goldward Ehr.st     
30020705;Gartenelfe Ehr.st     
30020706;PRINCESS     
30020707;BOB     
30020708;Rigel Flickan     
30020709;Snonsøy Tinjar     
30020710;Buzz Lightyear     
30020711;Gull Gull     
30020712;KOFUR     
30020713;HIRAM DE LA CENSE     
30020714;Voje Spika     
30020715;Åsajerva     
30020716;Ulspika     
30020717;Sør Balder     
30020718;Malle     
30020719;Torsby Tali     
30020720;Chili Kick     
30020721;Mr. Renati B.R.     
30020722;Tarot B.R.     
30020723;Vetlevar     
30020724;Victoria Lind     
30020725;Marcan Photo     
30020726;Grøtte Svarten     
30020727;Byes Balder     
30020728;Helgin Spik     
30020729;Goran     
30020730;Breaking The Limit     
30020731;Jorgutten     
30020732;Frons Maja     
30020733;Myr Jerven     
30020734;Elegant     
30020735;La Targa 
30020736;Carmela's Wallet     
30020737;Shanti's Lorentz K.     
30020738;Helle Sol     
30020739;Atlasblume     
30020740;Athener     
30020741;Ankertaufe     
30020742;Gabbagabba Sand 
30020743;K.N. Speedgirl 
30020744;Victoria Quick 
30020745;Ha Nienke Quick 
30020746;Non Stop Quick 
30020747;Very Quick 
30020748;Astschantze DH 614     
30020749;Eurydike DS 1118     
30020750;Gratia RDH 1599     
30020751;Horsa     
30020752;Horsa II     
30020753;Ekkehard     
30020754;Falkin     
30020755;Fallerie     
30020756;Cajenne 6     
30020757;Carajan     
30020758;Goldfee     
30020759;Gloria DS 3835     
30020760;Weinzi DH 2901     
30020761;Flachsmann     
30020762;Almtaube     
30020763;Front     
30020764;HØFDINGI     
30020765;Elvestads Balder     
30020766;Akcio     
30020767;Gibraltar     
30020768;Sunny     
30020769;Prippen     
30020770;Gryta Lyngs Linus     
30020771;Pepita     
30020772;Pierrot 9303492 DKDV     
30020773;Madonna     
30020774;Check Raise 
30020775;Falco     
30020776;Willy     
30020777;Pernille     
30020778;Gullstjerna     
30020779;Melvin Zoot     
30020780;C.C. Herkules     
30020781;Lady Starline     
30020782;Titan Royal     
30020783;Vital Challenger     
30020784;Genteel Dame     
30020785;Brianka     
30020786;Caressa Star     
30020788;Fine Project 
30020789;HALLAGENAS NOBLE LOR     
30020790;Granly Martin     
30020791;Sergodtut     
30020792;Smågodt     
30020793;Adrianos Winner     
30020794;Bjørnli Min     
30020795;You Va Bene     
30020796;Prestile     
30020797;Frescha G.E.     
30020798;Spenda Shogun     
30020799;Vikan Balder     
30020800;Last Jo     
30020801;Keiba Express     
30020802;Deverells Walk 
30020803;Storm Lydia     
30020804;Emma Mi     
30020805;Friskus     
30020806;Viva Giddex     
30020807;High Eleven L.     
30020808;Walk On By 
30020810;Emphasis 
30020811;ROMALINDA     
30020812;Høyvangs Ellinor     
30020813;Asferg Bella FR 6899     
30020814;Isabella DS 7506     
30020815;Katinka Dybvadholm EDH2709     
30020816;Calzone DH 472     
30020817;Calzante RDH 4617     
30020818;Kings Vimont 
30020819;Mystical Prince     
30020820;The Professor 
30020821;Amira 
30020822;Nordsveens Gråtass     
30020823;Loms Brit     
30020824;Big Wish     
30020825;Take a Risk 
30020827;Chain of Life 
30020828;Moon Life 
30020829;Findal Gaia     
30020830;Holter Maia     
30020831;Blikkstra     
30020832;Solkvikksi     
30020833;Rigovin     
30020834;Paris     
30020835;Lovely Lady     
30020836;Dotterud Teddy     
30020837;Bilander 
30020838;Mentor Stjerna     
30020839;Lannem Frida     
30020840;Jordalsmai     
30020841;Tourbillon     
30020842;Timetodream     
30020843;Ruskeli Vilja     
30020844;Tangen Stili     
30020845;Tangen Sara     
30035926;Nordgards Stjerna     
30035927;MAKE A MISTAKE     
30035928;Nikita Boshoeve 
30035929;Yonckers Boshoeve 
30035930;Sir Ess William     
30035931;Red Sox     
30035932;Figther     
30035933;Dance Sequence 
30035934;Hornpipe 
30035935;MK Bite The Bullet     
30035936;Kalimero     
30035937;Dos Talas 
30035938;Hawk and I 
30035939;Kenzie     
30035940;Norpella 
30035941;Sugarfoot 
30035942;Edge of Darkness 
30035943;Buju 
30035944;Mucky     
30035945;Hannele     
30035946;Helma     
30035947;Harmonie     
30035948;Petra     
30035949;Lian's Channing     
30035950;Wildfang     
30035951;Julina     
30035952;Hella     
30035953;Ama Hunter     
30035954;Feseth Stina     
30035955;Emil De Rascal     
30035956;Pickmeahandfull     
30035957;Slotts Vinna     
30035958;Honeymoon     
30035959;How Happy     
30035960;Scream For Joy     
30035961;Cesar Fakse     
30035962;Spang Draupner     
30035963;Granly Lilja     
30035964;Prins Tom     
30035965;Smedsrud Annica     
30035966;Holen Hanne     
30035967;Udøpt     
30035968;Contini W.     
30035969;Fantasia Sund     
30035970;Vinning Jerven     
30035971;Lykke Sara     
30035972;Komnes Storstjerne     
30035973;Organon B     
30035974;Lisa F73     
30035975;Mercurius     
30035976;Nellarose     
30035977;Sellarose     
30035978;Anna-Bell     
30035979;Helle OL 6844     
30035980;Galanja Hortvig     
30035981;Dalida     
30035982;Gogona     
30035983;Musse NR 4184     
30035984;Bitten NR 5822     
30035985;Sanne DS 7505     
30035986;Weinschenke     
30035987;Serenade     
30035988;Lancelote     
30035989;Sonnennixe     
30035990;Arina     
30035991;Adlerbahn     
30035992;Fliedergunst     
30035993;Karlijn     
30035994;Dominique III     
30035995;Bakkelys Queen     
30035996;Tagas Chirel     
30035997;Olanda     
30035998;Britta F33     
30035999;Sirikit F33     
30036000;Wanja F48     
30036001;Wariette F48     
30036002;Cylies     
30036003;Dragon     
30036004;Gracja     
30036005;Wonder Reef     
30036006;Uten Navn     
30036007;Emily Safir 
30036008;Emilia B. 
30036009;Tall Tale 
30036010;Whale 
30036011;Happybirthday D.E. 
30036012;Pelle     
30036013;Vestenås Merkur     
30036014;Tanas Gremlin     
30036015;Sam     
30036016;Madame Vitesse Bi 
30036017;Pusjcas     
30036018;Haakebill     
30036019;Storm     
30036020;Solei     
30036021;Secret Seeker 
30036022;Sekari 
30036023;Capta 
30036024;Capto 
30036025;Samba     
30036026;Dessert     
30036027;Cesar     
30036028;Falke 291     
30036029;Garda     
30036030;Wieske     
30036031;Marit fan'e Grupstal     
30036032;Zwaantje F.     
30036033;Shalad'or 
30036034;Paulyn     
30036035;Femke Paulyn     
30036036;Lolke 371     
30036037;Golden Sprite 
30036038;Roelf B.P.S.fan Stal Altforst     
30036039;Julies Chamsiin ci Blue     
30036040;Ronja     
30036041;Zidane TFH23TF     
30036042;Rambling Rose     
30036043;Rambling Jack Sparrow 
30036044;Blue Season 
30036045;Springfield Blue 
30036046;Grindlands Jenta     
30036047;Major Stjernen     
30036048;Don Rigo     
30036049;Værstina     
30036050;Røkke     
30036051;Svene Mari     
30036052;Møller Faks     
30036053;C.C. Commando     
30036054;Windmaster     
30036055;Telly Lotte     
30036056;Up At Dawn     
30036057;Umbra     
30036058;Unreal     
30036059;Mr. Ratzeputz     
30036060;Stjerne Jerkla     
30036061;Lykkje Unni     
30036062;Lykkje Per     
30036063;Udøpt     
30036064;Taifon Factor     
30036065;Fanny Native     
30036066;Vertigo Victoria     
30036067;Udøpt     
30036068;RULLE     
30036069;Spirit Lady     
30036070;Miss Independent     
30036071;Stjerne Erna     
30036072;DULAC TEC     
30036073;Quindy     
30036074;Sterzing     
30036075;Fatma     
30036076;Fenga     
30036077;Stenz     
30036078;Fannie Lundgaard     
30036079;Flipper     
30036080;Florina F20     
30036081;Bent's Morning     
30036082;Kickan F20     
30036083;Jawohlita F20     
30036084;Corona F20     
30036085;Colombine F20 16965     
30036086;Kjellrun     
30036096;LORITA     
30036116;Blesi frå Laugardælum     
30036117;Sabina     
30036118;Spikjervi     
30036119;Pingo Ø.K.     
30036120;Pinglå Ø.K.     
30036121;Myrviks Amor     
30036122;Myrviks Rappa     
30036123;Ovedalen     
30036136;Windy     
30036137;Hilfa     
30036138;Nevelle     
30036139;TAMMUZ     
30036140;FRØYA     
30036142;Valløs Ramus     
30036143;K.N. Koreander 
30036144;Waltraude 
30036145;Mirate 
30036146;Silvertown 
30036147;Laedy     
30036148;Gepard Lady     
30036149;Gaby     
30036150;Planina     
30036151;Caprice     
30036152;Aldatus     
30036153;Gabrielle     
30036154;Diamond Hit     
30036155;B.H.Diamond Dancer DVH     
30036156;Romy D     
30036157;Lonka     
30036158;Apassionata     
30036159;Walzerkoenigin     
30036160;Lady Crusador     
30036161;Blue Hors Dicardo     
30036162;Kylie     
30036163;L.E. Hardie     
30036164;Blue Hors Leredo     
30036165;Tucia     
30036166;Rache     
30036167;Cremea     
30036168;Hoff DH 106     
30036169;Sorte     
30036170;Sportmodell     
30036171;Laufer     
30036172;Goldelse St.pr     
30036173;Floreat     
30036174;Flussgold     
30036175;Lauferfee St.pr     
30036176;Flussmuse DH 910     
30036177;Wunderkunde     
30036178;Alpena     
30036179;Nobelina     
30036180;Lucky Hanover 
30036181;Yoeri Kievitshof 
30036182;Beaggle Cassidy 
30036183;Courageous Spirit 
30036184;Hope'n Victory     
30036185;Daphne 
30036186;Charmelian 
30036187;Prospectors Delite 
30036188;Monashee Mountain 
30036189;Makak 
30036190;Nickle Lady 
30036191;Superman 
30036192;Kapall 
30036193;Coffee Peace 
30036194;Rut Herself 
30036195;Heavenly Prize 
30036196;Pure Prize 
30036197;Quest For Fame 
30036198;Varnina 
30036199;Vas 
30036200;Feuer-Limelight 
30036201;Clauses Star 
30036202;Killegård Gutten     
30036203;Tandbergsjefa     
30036204;Prinse Essa     
30036205;Global New York     
30036206;Krokstad Juvita     
30036207;Utopia Tiamat     
30036208;Above All     
30036209;Pola Sokken     
30036210;Reidunn     
30036211;Shady Plane     
30036212;Høiby Klang     
30036213;Nesvik Trym     
30036214;Andorra B.R.     
30036215;Andy B.R.     
30036216;Asterix B.R.     
30036217;Sumo Kåre     
30036218;Stein Bonanza     
30036219;Let There Be Rock     
30036220;Grude Jenta     
30036221;Nikita     
30036222;Shai Tonic     
30036223;Ulydia     
30036224;Hoppe Tussa     
30036225;Engens Savannah     
30036226;Blue On Line     
30036227;Why Not Lucky     
30036228;Lerud Kvikka     
30036229;Joto     
30036230;Omas Loperette     
30036231;Mr. Cane's Lad     
30036232;Express Pepper     
30036233;Tangen Rikke     
30036234;The President     
30036235;Pokeridol     
30036236;Sara     
30036237;Emilfaksen     
30036238;Bullyoung     
30036239;Malinn     
30036240;Chanto Photo     
30036241;Wik Emil     
30036242;Tæsse Jenta     
30036243;Jazzy Senator     
30036244;Norheim Jærv     
30036245;C.C. Neo     
30036246;Kerstin Bee 
30036247;Jive S.E. 
30036248;Lass Class 
30036249;Epona Star 
30036250;Baffling Wind 
30036251;Kristel Kemp 
30036252;Sanda Surprice 
30036253;Katincka     
30036254;Sweet Emily 
30036255;Lucky's Cheese 
30036256;Chambre D'Amour xx     
30036257;Portresse     
30036258;Wendelin ster     
30036259;Jasmin     
30036260;Pavel     
30036261;Miss Sunway 
30036262;Snapps Bar 
30036263;Czatanoga ox     
30036264;Czaprak ox     
30036265;Garden's Coktail 
30036266;Asenat Li 
30036267;Pine Li 
30036276;Rosa     
30036277;Valentino     
30036278;Pinky     
30036279;Rosa     
30036280;Gindo     
30036281;Sir Gambler     
30036282;Cora     
30036283;Regina Kærn 
30036284;Topas Kærn 
30036285;Peppe P. 
30036286;Ivy Hornline 
30036287;Shake Some Souls 
30036288;Canny Sea 
30036289;Saphira     
30036290;The Womanizer 
30036291;Pannalady 
30036292;Ghastly Face 
30036293;Smarts Stylish Leo     
30036294;Peggy Cast     
30036295;Mito Marko     
30036296;Dust Eyed Commander     
30036297;Still Going Strong     
30036316;Fredrika Newmen 
30036317;Octavia Newmen 
30036318;Xanthis Carisma 
30036319;Xanthas Grey Lady 
30036320;Melvin R.B. 
30036321;Diana     
30036322;Adrian's News     
30036323;Tarantella     
30036324;Access Frost     
30036325;Saint Estephe 
30036326;Yenisei 
30036327;Estefania 
30036328;Fine Dandy 
30036329;Holen Line     
30036330;King Maltin     
30036331;Skognes Il     
30036332;Milli News     
30036333;Udøpt     
30036334;Kjappe Orkana     
30036335;Bokli Storm     
30036336;Eikprins     
30036337;Frøken Strøken     
30036338;Rosemount     
30036339;Tao Elda     
30036340;Stjerne Sjefa     
30036341;Landås Odin     
30036342;Pontiac Index 
30036343;Jørnstu Vilja     
30036344;Zitas Lady Chanel     
30036345;Søyset Kaisa     
30036346;Prinse Uno     
30036347;Tekno Odin     
30036348;Olympos Baby     
30036349;Olympos Dolce Vita     
30036350;Olympos Enya     
30036351;Olympos Magnum     
30036352;Jive 
30036353;Peppe E. 
30036354;Odin     
30036355;Lennon-Ryhti     
30036356;Epoli     
30036357;Epotio     
30036358;Patritta     
30036359;Pikku Rilla 
30036360;Keystone Edmund 
30036361;Monto's Emma 
30036362;Hillheads Edward 
30036363;Yli-Veto     
30036364;Yli-Tippa     
30036365;Petsari 
30036366;Poika-Siro     
30036367;Hilun-Pisko     
30036368;Piskotar     
30036369;Piskon Kloppi     
30036370;Good Quito 
30036371;Lady Good 
30036372;Chili Southwind 
30036373;New Reina 
30036374;Gogo Black Wind 
30036375;First Master 
30036376;Gawain 
30036377;Riding Sponsor 
30036378;Hill's Afrodite 
30036379;Diabolo 
30036380;Hot Horse 
30036381;Wireless Sensation 
30036396;Locharia 
30036397;Aqua Galinte 
30036398;Amaethon 
30036399;Festus     
30036400;Vivi Belle 
30036401;Ipcress Filly 
30036402;Clericuzio 
30036403;Fåvne Regal     
30036404;Åtta     
30036405;Regina     
30036406;Herda     
30036407;Gullmai     
30036408;Kaspar     
30036409;Odin     
30036410;Blakken     
30036411;Miranda     
30036412;Alba     
30036413;Mai Jahna     
30036414;Bjørstjerna     
30036415;Nora     
30036416;Bjørrappa     
30036417;Alice News     
30036418;Olliver     
30036419;Dale Tiril     
30036420;Dale Rebekka     
30036421;Solan     
30036422;Applaus     
30036423;Une de Titan     
30036424;Unkas Titan     
30036425;Hidalgo     
30036426;Rams Katja     
30036427;Stand Ly     
30036428;Fakseflya     
30036429;Caballus     
30036430;Madla Tor     
30036431;Prince Photo     
30036432;Charm de Lavec A.B.     
30036433;Kolnes Karen     
30036434;Becky's Celebration     
30036435;Stumne Ronja     
30036436;Knut Eld     
30036437;Getcashfast     
30036439;Turbin     
30036456;My Way 
30036457;Grangehurst 
30036476;Bally's Toddy     
30036477;Fjølner     
30036478;Reberdia     
30036479;Godwine 
30036480;Great White 
30036481;Lagonit     
30036482;Aniseth     
30036483;Felica     
30036484;Balios     
30036485;B.B.S. Exita     
30036486;Claire DS 1580     
30036487;Bertusine     
30036488;Hubertus     
30036489;Trille     
30036490;Thyra     
30036491;Stjernella     
30036492;Pluto Arabi III LHI 11     
30036493;Pluto Bella     
30036494;Lady-Bella FOR 5088     
30036495;Dominique     
30036496;JDR/ A 34     
30036497;Royal Craigh xx     
30036498;TOPSY JDR/A 41     
30036499;Britta Nørregaard OL 924     
30036500;Gran Nørregaard OLH 296     
30036501;Flinte     
30036502;Medea FOR     
30036503;Kondor     
30036504;Comtesse F5     
30036505;Clodette F5     
30036506;Polarquist DH 140     
30036507;Maya DS 7501     
30036508;Sentina Eclair DS 9782     
30036509;Celina Eclair     
30036510;Hilton Court     
30036511;Tulle     
30036512;Sheiken     
30036513;Hermolin     
30036514;Kronemann Langemark     
30036515;Bessy     
30036516;Bobby     
30036517;Knabstrupperhoppe     
30036518;Silverking I     
30036519;Spæt     
30036520;Rød frb.hoppe     
30036521;Thor Udby     
30036522;Lise     
30036523;Musse     
30036524;Knabstrupperhoppe     
30036525;Brun Oldenborghingst     
30036526;Brun hoppe     
30036527;Brun hoppe     
30036528;Mikkel     
30036529;Tor     
30036530;Plet     
30036531;Ibrahim Skærdal     
30036532;Fine     
30036533;Prik     
30036534;Jora     
30036536;OLGA P.     
30036556;Nelleprinsen     
30036557;Martille     
30036558;Sir John     
30036559;La Rossa C.B.     
30036560;Nicosia     
30036561;Lykketrollet     
30036562;Spang Brazze     
30036563;Nøstedokka     
30036564;Evita     
30036565;Twin Power     
30036566;Harvester     
30036567;Financial Question     
30036568;Express Salt     
30036569;Snøhetta fra Kjosavik     
30036570;Lovers Lane     
30036571;Zeppa fra Vatland     
30036572;Lygna Rosa     
30036573;Hanse Piril     
30036574;Viola Kaspara     
30036575;Moondancer     
30036576;Don Pedro     
30036577;Conny Bar     
30036578;Willemo     
30036579;Lady's Legacy     
30036580;Oleana     
30036581;Chatan     
30036582;Intercooler L.     
30036583;Intercontinent L.     
30036584;Irco Spirit     
30036585;Illuminato Winner L.     
30036586;Veslefrikk Med Fela     
30036587;Brogårdens Virotti     
30036588;Carambo     
30036589;Lady Butterfly     
30036590;King Shanin     
30036591;Dexter     
30036592;Romantica's Just For Fun     
30036593;Horgen Lasso     
30036594;Faustino     
30036595;Lillen     
30036596;Draumur     
30036597;Njola     
30036598;Raudskjoni     
30036599;Balder 
30036616;Remig     
30036617;Imelda     
30036618;Moritz     
30036619;Olate     
30036620;Dirk     
30036621;Flora     
30036622;Wärter     
30036623;Wilma     
30036624;Retter     
30036625;Maxi     
30036626;Diflor     
30036627;Waltraud     
30036628;Respekt     
30036629;Wanda     
30036630;Wera 
30036631;Alm Ramiro     
30036632;Majmix     
30036633;Yeswelove     
30036634;Amarone     
30036635;Motveit Bruna     
30036636;Alpin     
30036637;Norstjernen     
30036638;Noss Zappa     
30036639;Mister Jægermeister     
30036640;Calle Cheven     
30036641;Vassbø Fakse     
30036642;Max Bowler W.L.     
30036643;Nixa     
30036644;Skogbryn Stjerna     
30036645;Chief Photo     
30036646;Lucky Double T.     
30036647;Lorofino     
30036648;Flåli Jona     
30036649;Myr Knekten     
30036650;Speedy Star V.     
30036651;Alvinn S.K.     
30036652;Kraneveld's Jasper     
30036653;Flaumur     
30036656;Toto Williams 
30036657;Stranda Vilja     
30036658;Dallas     
30036659;Victor     
30036660;Water Queen 
30036661;Welcome     
30036662;Balder Banditt     
30036676;Victoria Newport 
30036677;Petit Verdot 
30036678;Carisma     
30036679;Hornby Image 
30036680;Fredrika Kemp 
30036681;Skrims Døla     
30036682;Mamselle Sigel 
30036683;Blitz Night 
30036684;Kia Briljant 
30036685;Ydra Briljant 
30036686;Dream Connection 
30036687;Dandy Lad     
30036696;PHILLIPA     
30036697;Beau Duchess 
30036698;Allsussedup 
30036699;Bavea Jose 
