38;6;32;30082484
55;8;26;30038662
33;3;18;30058751
47;6;25;30022968
20;29;47;30088085
43;12;33;30035450
20;5;31;30068777
23;8;24;30053470
47;24;42;30068999
67;0;33;30082880
0;33;67;30092521
38;43;57;30097304
33;0;33;30094140
0;0;31;30092433
40;0;44;30093413
56;0;0;30092813
0;0;75;30098601
30;0;0;30082883
12;0;0;30095260
62;0;11;30089492
10;15;41;30085296
35;0;16;30053773
9;17;41;30088340
24;17;50;30083755
8;2;16;30078614
34;1;16;30078787
17;19;52;30093033
21;9;36;30081084
45;3;23;30065332
26;2;8;30080235
23;29;67;30070963
17;10;33;30094200
5;20;45;30093627
16;4;8;30008347
4;7;17;30083851
14;4;28;30093628
48;11;25;30084030
24;22;48;30066792
6;19;40;30088673
10;8;32;30054596
7;17;40;30038039
19;23;47;30069763
21;0;6;30092670
15;0;4;30089699
50;8;42;30088343
33;18;45;30092629
19;0;15;30090120
32;0;4;30087210
24;12;56;30093692
18;22;33;30094368
52;4;17;30089331
15;4;30;30091055
22;6;12;30093375
40;4;16;30055495
27;12;31;30082640
13;5;39;30079112
62;6;29;30051978
29;3;14;30039079
14;15;50;30082639
23;11;42;30090675
43;10;45;30087906
11;7;21;30089166
33;36;45;30093814
70;13;27;30075252
0;56;62;30068119
8;1;19;30084446
21;9;30;30078806
56;24;52;30092506
33;6;16;30084925
29;6;13;30068400
38;11;41;30084071
18;12;43;30087985
10;13;38;30083462
30;4;20;30037018
42;0;39;30089433
57;6;22;30082145
33;0;30;30092717
33;33;56;30093597
17;11;44;30083518
42;3;11;30077570
48;10;35;30078453
18;11;50;30082642
36;57;100;30094000
100;0;0;30067937
80;0;0;30089312
75;40;60;30098508
12;50;67;30093041
100;0;0;30088270
62;6;24;30067226
67;0;0;30093402
100;0;0;30094618
71;0;15;30078451
0;0;50;30088687
33;0;0;30097745
59;8;38;30067405
10;0;67;30097251
33;0;0;30097745
0;0;0;30097576
17;100;100;30097678
62;0;60;30097750
10;8;32;30054596
23;12;31;30084053
18;37;70;30078566
21;33;58;30087358
32;6;34;30065177
62;6;24;30067226
33;0;27;30088999
57;0;17;30078561
50;29;43;30088084
33;0;30;30092717
59;7;40;30079129
42;3;11;30077570
19;0;12;30085269
34;3;17;30083473
42;3;3;30082818
38;0;27;30082098
0;0;50;30088687
0;0;75;30098601
56;0;0;30092813
67;0;33;30082880
93;0;15;30094906
15;0;4;30089699
45;0;38;30089347
0;100;100;30093924
40;0;44;30093413
40;7;37;30087773
0;36;73;30039092
40;4;16;30055495
41;2;27;30035475
35;5;23;30067489
70;13;27;30075252
19;5;28;30083164
10;3;43;30068403
