7;23;55;225;20;30035829
41;24;36;29;20;30054326
9;1;16;138;10;30055804
13;13;33;15;0;30066510
33;4;23;61;0;30067100
0;0;0;0;0;30068727
5;20;59;154;20;30074276
0;0;0;0;0;30075551
55;5;21;86;10;30077204
15;4;26;100;0;30077375
34;2;17;169;0;30078325
16;0;27;49;0;30080911
4;27;59;131;20;30082016
34;11;30;89;20;30083497
29;13;36;143;10;30083763
0;0;0;0;0;30085324
8;20;35;24;10;30087785
5;5;21;64;0;30087981
25;9;38;109;10;30088140
33;6;35;33;20;30088802
28;7;24;76;20;30088929
18;28;61;119;20;30089148
53;6;44;19;0;30089359
24;19;43;111;0;30091009
14;9;31;92;0;30092057
27;10;45;83;0;30092324
13;5;21;86;0;30092695
27;12;24;22;10;30093954
6;19;44;107;20;30094082
0;18;43;29;20;30097957
38;0;10;24;10;30098102
17;9;29;72;10;30098976
33;10;42;63;10;30099012
0;0;0;0;0;30099125
23;0;6;48;0;30099895
11;4;22;57;0;30101016
19;6;30;83;10;30101018
0;0;17;9;10;30102478
24;21;40;55;0;30103304
6;27;47;31;30;30103739
24;16;43;37;10;30103788
0;0;0;1;0;30104070
23;0;42;13;0;30104274
42;12;38;26;10;30104476
48;7;41;46;20;30105093
9;5;36;22;10;30105407
14;8;38;14;0;30108948
35;6;23;52;0;30109084
52;10;27;42;10;30109106
67;0;12;9;0;30109219
50;12;25;18;0;30109461
69;0;8;13;0;30109486
3;6;29;35;0;30109585
48;17;33;25;10;30109996
49;5;12;41;0;30110143
70;0;0;10;0;30110399
67;0;20;6;0;30110671
50;12;25;18;0;30111049
67;0;17;9;10;30111229
12;17;25;25;0;30112003
4;10;25;23;0;30113511
14;19;44;59;0;30114959
26;13;46;47;0;30115020
11;9;42;64;10;30115166
29;3;29;34;10;30115795
30;27;64;23;0;30115858
35;10;25;23;10;30116096
33;24;48;27;20;30116250
0;0;100;3;10;30116722
75;0;25;4;10;30116779
21;23;41;24;10;30116785
10;11;37;20;0;30116893
0;0;0;4;0;30116951
0;57;100;9;30;30116960
42;15;31;43;10;30117070
0;0;67;8;30;30117080
13;8;54;15;10;30117124
38;15;44;29;0;30117285
23;15;55;22;20;30117528
41;10;15;22;0;30117569
50;0;100;2;10;30118458
0;50;67;7;10;30122094
0;0;0;3;0;30122141
0;0;50;4;10;30122262
67;0;100;3;10;30122317
20;0;0;5;0;30122331
75;0;0;4;0;30122526
0;100;100;3;10;30122596
78;0;20;9;0;30122812
0;0;0;1;0;30122900
50;0;0;2;0;30122952
20;4;28;25;20;30122960
53;0;25;15;20;30123179
0;0;20;7;10;30123369
0;60;100;7;30;30123513
12;16;43;49;10;30123759
0;100;100;2;10;30124313
10;0;25;40;20;30124773
10;10;35;21;10;30125143
12;50;83;8;20;30125993
44;0;33;16;10;30129300
0;0;20;15;0;30129591
7;13;47;15;20;30135478
0;100;100;1;10;30135554
0;0;50;5;20;30136577
8;25;50;12;20;30137017
9;23;50;22;20;30137158
13;7;53;15;20;30137162
