20;0;0;30100160
0;0;0;30099242
50;0;0;30098409
25;0;0;30097235
0;50;100;30097968
40;0;0;30100832
29;0;0;30097418
17;0;67;30097318
70;0;0;30098980
17;50;50;30099351
17;0;0;30097560
20;0;33;30098818
0;0;0;30095682
25;0;0;30093052
30;0;0;30095267
0;0;60;30099227
80;0;0;30085294
40;0;100;30094205
62;0;0;30082613
62;0;29;30093105
50;0;11;30095173
33;0;12;30094731
9;10;20;30083778
59;31;62;30076750
29;0;12;30092555
8;0;36;30078612
31;7;14;30094085
43;18;55;30093635
59;4;24;30068133
32;6;44;30037161
61;0;21;30083551
10;86;100;30098671
54;5;18;30083370
23;5;28;30067498
8;29;55;30082685
19;23;47;30069763
19;27;53;30087780
24;27;59;30089742
12;7;22;30078540
19;14;48;30085621
34;23;38;30038406
38;11;35;30051836
41;6;20;132424
19;54;88;30079925
20;15;49;30037007
28;12;36;30077935
46;11;35;30019598
12;7;39;30066533
29;21;51;30037290
30;21;42;30066543
17;29;57;30082778
16;2;28;30064866
28;8;25;30037685
21;9;36;30081084
42;19;32;30083764
11;12;44;30093034
11;6;25;30088517
35;18;45;30087791
11;8;42;30089606
9;5;40;30093019
14;0;31;30088180
4;24;48;30095720
9;9;30;30078249
19;23;47;30069763
8;29;55;30082685
23;5;28;30067498
8;22;44;30093717
23;0;29;30085047
8;22;22;30094115
50;3;12;30089565
17;18;55;30095299
0;15;31;30092346
21;0;6;30092670
32;2;19;30068887
18;6;35;30078717
49;9;26;30082583
68;17;33;30093655
38;9;43;30089280
21;15;30;30093065
33;27;53;30087938
24;8;30;30082737
33;4;23;30077876
35;9;28;30068567
0;0;14;30095587
11;0;17;30089123
0;0;0;30098918
43;0;67;30093242
71;0;0;30083894
17;25;75;30093441
17;0;25;30097392
0;0;100;30099107
50;0;0;30094106
33;0;67;30098406
29;0;0;30094602
5;12;35;30054999
48;6;19;30077017
22;19;53;30083238
32;13;38;30036206
37;8;28;30039338
22;20;43;30051037
24;11;37;30022961
41;16;33;30033821
3;12;40;30036944
20;11;26;129115
14;27;91;30093624
24;19;65;30073559
33;20;60;30105455
80;0;0;30114042
8;9;23;30064300
26;0;16;30087716
2;27;70;30076773
50;0;50;30095396
10;23;47;30092191
20;40;58;30094112
28;33;62;30093325
10;17;34;30100729
11;22;33;30111990
25;10;40;30064079
51;12;25;30094778
36;28;36;30108427
11;22;39;30108839
28;33;62;30093325
20;40;58;30094112
10;23;47;30092191
50;0;50;30095396
2;27;70;30076773
26;0;16;30087716
8;9;23;30064300
33;0;33;30109177
0;0;0;30097970
48;6;19;30077017
35;31;31;30083215
17;0;30;30066268
7;4;21;30057198
18;26;68;30089145
33;4;22;30088077
55;6;17;30076473
39;12;33;30088706
47;3;29;30055001
36;5;20;30079420
21;7;20;30087991
38;11;35;30051836
41;5;16;30055238
44;8;33;30088941
24;0;31;30092510
27;8;23;30092660
11;0;62;30088945
0;12;88;30089895
21;0;18;30082169
19;8;46;30093362
18;0;25;30093254
0;33;100;30084054
50;0;0;30078328
27;0;12;30092197
71;33;33;30095729
50;20;30;30082940
47;0;6;30077966
17;0;15;30084067
67;0;18;30068328
41;5;19;30078061
17;0;19;30085469
9;10;20;30083778
6;0;50;30077732
76;0;13;30088163
35;0;12;30087845
39;6;22;30077835
63;19;44;30088095
54;5;18;30083370
59;31;62;30076750
43;0;17;30065527
66;2;16;30076459
29;25;50;30068993
52;5;22;30078801
24;8;30;30082737
75;5;22;30089698
45;0;15;30083098
71;0;18;30077878
42;5;16;30066156
12;29;52;30088007
6;24;36;30071236
17;45;45;30093268
11;9;37;30068832
8;14;38;30087981
21;15;43;30037300
30;7;27;30074185
23;4;21;30021644
24;13;45;30052778
50;12;34;30039575
13;13;37;133220
34;16;38;30076749
20;11;26;129115
28;19;42;30071476
2;32;74;30075069
28;20;43;30052183
27;17;42;30022685
50;0;0;30093463
100;0;0;30097683
29;0;0;30094602
33;0;0;30090999
25;33;33;30098558
33;0;12;30094731
20;0;67;30092560
0;0;75;30092340
62;67;100;30094854
75;0;0;30095898
80;0;0;30083224
0;0;100;30087851
20;0;50;30096985
50;0;0;30098738
0;0;0;30085889
20;0;50;30097289
50;0;0;30089601
0;0;0;30094526
0;50;100;30090531
17;0;50;30082226
50;0;0;30097687
38;25;25;30087936
29;0;0;30092922
67;0;0;30090286
67;0;0;30093213
6;18;51;30078964
40;0;100;30094205
50;0;0;30099285
0;0;0;30098920
0;0;0;30095370
14;33;33;30092684
0;0;0;30093535
0;0;0;30089744
20;15;49;30037007
100;0;0;30089232
0;0;0;30103891
0;0;0;30105697
0;0;0;30103258
50;0;0;30103626
6;15;41;30053263
29;15;27;30077078
6;19;40;30088673
54;10;20;30092448
27;8;23;30092660
38;0;33;30094044
9;25;62;30094692
0;11;33;30095050
38;0;0;30092921
20;8;33;30079032
44;8;33;30088941
54;12;21;30088001
22;18;59;30087385
55;10;39;30084266
51;16;29;30084468
39;12;33;30088706
48;36;45;30088020
55;2;21;30053798
15;10;45;30082266
53;7;25;30052353
50;19;50;30066596
35;5;23;30067489
38;36;64;30077837
71;0;0;30070516
37;0;31;30082182
80;7;7;30068551
35;0;21;30083971
6;0;50;30077732
40;29;57;30094430
73;7;21;30055626
33;0;17;30093979
67;22;33;30088185
67;0;0;30093821
43;2;32;30082475
38;29;38;30091051
37;12;27;30066385
17;29;57;30082778
11;25;42;30088588
