17;50;67;6;30113006
20;0;60;5;30116423
4;9;36;23;30103242
70;0;20;10;30108275
37;31;62;30;30107262
25;33;47;16;30107263
33;0;44;18;30112886
20;25;100;5;30107247
11;11;56;9;30113276
41;25;38;17;30098552
0;75;100;4;30114831
100;0;0;1;30088326
0;76;88;17;30109206
67;0;33;3;30115997
0;0;0;1;30116573
52;12;25;58;30094778
0;25;50;4;30108483
35;27;38;26;30108427
12;31;62;16;30110705
0;50;50;2;30115542
0;25;25;4;30068537
0;0;0;1;30089915
6;12;41;17;30107020
26;20;40;42;30062860
12;23;52;32;30088539
33;12;38;9;30109703
6;11;33;18;30105060
24;7;45;29;30108041
0;60;73;15;30108273
12;0;43;16;30090720
0;0;0;1;30113338
21;15;48;33;30101817
0;0;21;35;30059676
0;50;75;8;30115273
50;0;0;2;30115210
33;24;65;18;30095216
15;12;50;26;30100696
0;33;33;3;30104666
0;0;0;0;30085452
0;33;67;12;30109448
68;11;23;38;30083157
5;14;64;22;30104096
0;0;100;3;30100533
100;0;0;1;30113370
0;33;33;3;30110066
0;62;75;8;30112270
16;26;61;38;30099225
0;75;100;4;30108947
0;50;100;2;30109804
30;24;43;37;30096758
0;67;67;3;30109891
0;29;71;21;30087465
25;25;50;4;30096817
50;0;50;2;30113349
0;0;0;1;30116578
11;22;44;9;30109455
0;0;0;0;30083591
17;15;49;41;30073476
38;62;62;8;30102371
0;0;0;1;30116441
33;24;65;18;30095216
0;0;100;1;30116576
0;0;100;2;30109901
0;0;0;1;30114078
0;17;50;6;30100529
32;26;42;19;30108464
17;17;50;12;30111608
50;12;50;8;30114773
88;17;33;8;30087454
40;0;0;5;30097085
0;25;50;5;30097394
50;0;0;6;30089601
0;50;100;5;30090531
80;0;0;5;30091010
36;0;12;11;30084311
25;0;0;8;30092922
62;0;0;8;30082999
62;0;0;8;30098922
6;13;42;35;30077989
22;9;34;36;30081875
5;3;34;38;30089541
27;17;37;33;30088523
11;16;44;35;30088753
