34;7;13;30069241
3;3;12;30068984
33;6;39;30077469
15;13;30;30087905
41;4;20;30039321
14;4;28;30065630
51;7;26;30077608
44;2;20;30077350
60;11;24;30021875
20;7;21;30087991
17;0;27;30092972
19;12;33;30084000
20;8;31;30086140
12;0;21;30082762
19;8;54;30092973
27;7;19;30089765
25;3;19;30089370
22;29;48;30052723
53;9;31;30093762
17;5;24;30085916
25;7;21;30065536
16;32;55;30084153
28;11;16;30067053
68;0;19;30094059
59;0;17;30066381
26;3;11;30082413
91;3;21;30083313
36;0;5;30019929
72;5;14;30052829
57;3;10;30088034
27;8;15;30094085
36;10;20;30090429
21;0;17;30068459
24;28;44;30083154
32;5;11;30089013
15;0;17;30088346
17;13;47;30090451
24;13;40;30094620
23;10;33;30094054
11;17;39;30093632
16;0;14;30088528
12;3;28;30069866
5;7;37;30077748
12;7;40;30066533
28;10;35;30077935
24;6;30;30033528
4;15;46;30083532
15;3;23;30082882
41;5;11;30054603
3;7;47;30066450
22;28;52;30088829
22;22;47;30077373
38;5;24;30061517
28;8;28;30066720
12;8;23;30078540
16;11;34;30082996
0;2;24;30083777
16;11;29;30080827
22;5;28;30080463
28;3;52;30087806
13;6;30;30068834
71;0;17;30094614
50;0;0;30099665
0;0;40;30094379
50;0;33;30098884
11;17;67;30093792
33;0;0;30098527
56;0;0;30084581
60;0;20;30095814
17;12;38;30093219
33;0;25;30092543
20;0;11;30082855
19;0;7;30079286
50;0;13;30078106
53;0;8;30093565
29;0;27;30094486
68;0;0;30093401
45;25;62;30092122
17;0;11;30084067
29;50;100;30098715
25;0;44;30092691
75;0;14;30088163
34;0;16;30093365
40;0;0;30094057
74;0;1;30075548
100;0;100;30098819
30;20;40;30110593
0;0;50;30095956
25;0;25;30114004
8;8;69;30112343
14;0;14;30113280
3;19;45;30095275
5;11;29;30097057
11;12;40;30099752
0;0;0;30067603
28;16;37;30007488
43;29;43;30093999
0;0;0;30086527
30;33;67;30077165
25;6;29;30011025
10;10;42;30104945
14;0;18;30107343
37;9;32;30090967
17;8;34;30089613
11;9;22;30088973
0;8;32;30100280
50;15;15;30109285
62;9;17;30104482
8;8;69;30112343
8;0;8;30092554
7;16;38;30090225
2;15;35;30101517
16;15;39;30089922
32;22;41;30072057
15;23;46;30106616
26;16;35;30106016
0;0;0;30110948
17;0;50;30097295
50;0;0;30088546
32;0;14;30068469
11;0;0;30078187
50;0;0;30097283
0;0;0;30084349
6;8;24;30082162
12;6;39;30088888
6;10;38;30077723
20;3;19;30055440
4;0;47;30090647
14;2;23;30068604
22;8;54;30092749
4;3;21;30037577
24;17;33;30088823
30;14;32;30089251
7;0;18;30083964
15;0;22;30078707
14;26;37;30088680
0;3;17;30039082
18;2;10;30080368
23;10;33;30094054
17;3;16;30085803
5;6;39;30094056
58;4;12;30082228
29;16;37;30077637
14;17;17;30085196
41;19;40;30059927
37;8;28;30039338
37;20;40;30088939
40;17;33;30033821
6;6;31;30054999
41;12;38;30055242
39;17;40;30066982
48;31;55;30034725
59;0;14;30078193
45;11;41;30068327
21;0;17;30068459
59;4;15;30066632
37;6;33;30064259
58;2;15;127041
13;3;17;30079276
37;12;44;30089305
53;17;33;30092993
59;25;30;30092669
42;12;38;30087179
34;6;23;30090894
22;14;57;30093376
13;4;18;30083004
6;13;42;30077989
23;10;32;30081875
30;27;60;30088982
11;19;44;30093873
5;3;34;30089541
37;15;42;30087892
8;9;21;30084010
31;8;44;30082773
13;5;23;30086434
11;8;42;30089606
26;3;11;30082413
18;6;35;30078717
21;2;12;30080454
64;23;38;30084202
14;4;28;30065630
16;18;59;30088408
61;18;26;30088431
37;3;17;30078325
42;5;15;30055238
30;12;44;30082602
19;5;31;30083230
36;5;20;30079420
48;6;21;30078523
19;1;25;30070563
47;17;51;30082760
0;0;0;30098174
11;17;67;30093792
14;40;60;30097234
56;0;0;30084581
17;12;38;30093219
25;0;25;30088002
38;20;40;30099202
71;0;0;30095670
27;0;55;30087897
78;0;40;30093643
33;100;100;30088328
39;0;7;30087845
19;0;21;30085469
92;0;25;30083794
30;14;29;30088590
62;0;20;30089696
7;0;54;30077732
68;0;0;30093401
68;0;19;30094059
18;0;50;30092742
24;18;35;30107301
40;0;8;30107928
28;16;37;30007488
30;20;40;30110593
0;0;50;30095956
25;0;25;30114004
8;8;69;30112343
14;0;14;30113280
3;19;45;30095275
5;11;29;30097057
11;12;40;30099752
0;0;0;30067603
28;16;37;30007488
43;29;43;30093999
0;0;0;30086527
30;33;67;30077165
25;6;29;30011025
23;0;15;30107642
17;0;17;30110564
18;18;45;30113291
16;27;59;30099225
7;14;41;30097192
8;15;62;30105479
33;17;50;30113690
35;0;47;30112886
8;0;8;30092554
8;18;73;30107368
38;27;40;30098552
50;0;0;30111366
62;9;17;30104482
0;0;0;30057916
0;0;0;30009793
0;100;100;30110908
0;0;0;30084349
4;3;21;30037577
9;17;38;30089435
18;27;43;30088541
4;0;47;30090647
30;14;32;30089251
12;6;39;30088888
20;3;19;30055440
16;18;47;30083853
18;0;33;30066268
21;4;32;30083358
55;6;22;30078220
64;23;38;30084202
20;0;22;30078853
15;2;27;30067894
14;28;72;30089145
19;9;48;30088650
18;2;8;30071989
18;25;50;30092617
0;25;50;30093717
21;0;0;30089763
36;0;0;30092760
20;0;33;30095300
26;0;0;30093933
0;0;50;30087979
