42;16;30;40;30087797
20;2;38;56;30083163
11;2;13;47;30055804
37;1;19;73;30052488
36;24;48;28;30093513
8;22;51;40;30094082
55;0;0;11;30067814
0;9;18;14;30093275
44;0;14;27;30067037
26;0;16;27;30084348
24;7;7;17;30094142
23;0;0;13;30051078
0;0;36;15;30093220
16;7;27;19;30089547
0;10;35;55;30084299
8;6;35;50;30089875
21;11;31;63;30079247
24;11;32;42;30083695
28;1;15;94;30037743
30;7;18;47;30067624
66;2;14;67;30035449
42;19;38;19;30092671
60;2;20;58;30082729
40;35;59;20;30087915
34;6;19;35;30088575
41;7;46;32;30089194
47;3;10;73;30067550
33;10;24;45;30083353
56;7;22;57;30082508
37;8;29;140;30021326
31;20;56;58;30082409
9;9;36;95;30077034
28;9;49;58;30076665
18;14;35;88;30053949
38;22;52;53;30083139
13;8;47;53;30054400
7;23;59;44;30077889
7;21;39;30;30089117
26;11;42;70;30084923
16;7;14;62;30080988
12;16;38;34;30088433
50;0;0;2;30097206
33;0;0;3;30097283
0;0;0;3;30098997
50;0;33;6;30097561
40;0;0;5;30096909
15;0;30;13;30083260
67;14;29;12;30087929
64;0;36;14;30088188
50;20;20;8;30099041
7;7;14;15;30077873
40;0;14;10;30092323
53;0;13;36;30082856
53;6;33;19;30077204
100;0;0;2;30069185
71;3;12;80;30077035
100;0;0;1;30104388
4;43;72;48;30079072
10;16;45;72;30077949
13;27;68;47;30089171
10;15;22;30;30090513
40;8;21;42;30083297
18;3;23;38;30083361
13;0;29;31;30089138
51;23;32;47;30083763
0;10;35;55;30084299
8;6;35;50;30089875
12;20;40;48;30090300
5;2;36;60;30082408
12;16;38;34;30088433
18;3;20;119;30055200
26;11;42;70;30084923
13;2;30;45;30067547
73;0;9;37;30078221
54;2;20;48;30082679
53;0;20;32;30085507
34;6;19;35;30088575
40;35;59;20;30087915
21;5;14;24;30082913
45;4;22;29;30051178
9;20;60;11;30093380
20;5;27;25;30088428
41;7;46;32;30089194
23;2;28;47;30087726
15;4;18;54;30082510
15;3;33;39;30089886
18;10;30;11;30094543
44;0;14;27;30067037
41;12;25;22;30085761
33;12;38;12;30094295
0;0;36;15;30093220
8;0;33;12;30095800
13;7;36;15;30093471
24;7;7;17;30094142
5;0;27;42;30053256
26;0;16;27;30084348
14;18;35;22;30083599
14;0;28;28;30089011
5;8;26;41;30080233
40;2;26;50;30086154
30;7;18;47;30067624
66;2;14;67;30035449
11;2;13;47;30055804
60;2;20;58;30082729
52;33;56;21;30088088
56;17;57;25;30087003
18;24;43;49;30079081
21;14;58;39;30088087
8;22;51;40;30094082
41;13;50;41;30083191
14;13;29;51;30077057
31;9;38;72;30066798
25;0;0;4;30085486
50;20;20;8;30099041
60;25;25;5;30092695
67;14;29;12;30087929
43;0;0;7;30089451
0;0;50;5;30088527
0;0;0;4;30077805
67;0;0;6;30094065
50;0;0;4;30096875
50;0;0;12;30082948
17;100;100;6;30098502
27;0;0;30;131705
47;0;14;17;30093203
15;0;30;13;30083260
68;0;0;25;30070516
27;16;51;92;30037673
41;6;20;206;133383
49;9;34;102;30050718
23;22;49;81;30066727
8;21;54;75;30066780
39;36;71;57;30077482
23;19;45;83;30053059
36;10;39;234;30037671
33;0;0;6;30101059
100;0;0;2;30090231
0;33;67;6;30097968
0;0;0;3;30098997
41;5;24;192;132743
67;0;0;12;30092504
32;1;7;72;30051866
0;0;100;1;30099810
20;0;20;5;30114668
17;0;50;6;30115020
0;100;100;2;30116691
0;0;50;2;30115543
20;11;11;10;30113001
11;33;89;9;30114841
32;6;31;57;30090866
22;11;47;55;30099166
9;31;53;32;30097242
15;8;31;88;30071657
0;60;60;5;30097957
0;0;33;3;30115019
6;0;30;48;30085240
33;0;0;3;30087227
55;6;28;22;30055687
47;11;33;19;127595
17;21;45;29;30106616
6;9;26;71;30086545
25;0;4;28;30107849
20;9;20;35;30100858
4;8;26;53;30093801
33;0;0;9;30113285
0;22;45;51;30096053
10;22;46;63;30092191
10;10;42;31;30104945
100;0;0;2;30093205
17;40;60;6;30106031
50;0;0;4;30104751
25;0;0;4;30104724
8;42;67;12;30110156
11;22;46;37;30086794
0;0;0;0;18466
0;0;0;2;30051623
30;13;38;54;30094097
29;27;45;34;30107884
30;9;32;57;30100414
3;21;52;33;30108821
28;18;59;79;30076693
3;53;76;38;30097237
44;0;33;9;30105899
0;25;38;16;30113070
50;17;33;6;30114190
8;58;58;13;30101137
30;0;0;10;30095267
11;33;89;9;30114841
14;14;57;14;30112347
32;6;31;57;30090866
71;11;21;49;30097243
15;0;15;13;30102570
20;0;9;35;30099797
0;0;20;10;30113796
31;38;46;13;30095927
29;0;30;14;30093761
0;11;56;10;30067051
75;0;0;20;30052485
9;0;6;69;30051182
38;17;17;8;108291
50;11;28;101;123265
62;0;8;52;130222
14;0;28;28;30089011
5;0;27;42;30053256
21;11;28;19;30093399
14;18;35;22;30083599
22;13;40;18;30088516
20;35;71;20;30085042
24;5;30;41;30066078
38;46;62;16;30094301
13;0;29;31;30089138
48;8;21;56;30080362
24;11;32;42;30083695
47;0;14;17;30093203
47;0;31;15;30092542
62;0;7;21;30053826
73;0;9;37;30078221
19;5;19;27;30082509
65;7;36;20;30053518
0;6;28;21;30088884
53;0;13;36;30082856
34;6;19;35;30088575
20;5;27;25;30088428
40;35;59;20;30087915
45;4;22;29;30051178
37;1;19;73;30052488
16;11;25;31;30083552
20;2;38;56;30083163
39;11;31;49;30008817
5;8;26;41;30080233
11;2;13;47;30055804
50;14;38;44;30061180
71;3;12;80;30077035
17;7;34;52;30017522
15;4;18;54;30082510
66;2;14;67;30035449
8;22;51;40;30094082
14;13;29;51;30077057
48;4;21;85;30036433
31;9;38;72;30066798
42;12;33;81;30054327
46;4;19;114;30035326
49;8;18;94;30078778
7;23;59;44;30077889
34;12;40;68;30052780
38;22;52;53;30083139
28;9;49;58;30076665
18;14;35;88;30053949
21;8;29;66;30083058
13;27;68;47;30089171
