Heste_navn;Rett_navn;rettidnr;Feilidnr
Reiremo Ruggen;Reiremo Ruggen;30097475;30083646
Reiremo Tomas;Reiremo Tomas;30103743;30097475
Restless;Restless;30121879;30034071
Reveline Chip;Reveline Chip;30099977;120329
Revenator;Revenator;30105131;30082511
Robros Brazza;Robros Brazza;30117878;30095311
Rock Me;Rock Me;30103134;30085471
Royal Sensation E.;Royal Sensation E.;30078444;30082688
Royce Rolls;Royce Rolls;30101058;30086707
Rubina H.;Rubina H.;30103220;132209
Run To You;Run To You;30104898;30074915
Rushlight Face;Rushlight Face ;30118674;30104467
Ruskeli Frøkna;Ruskeli Frøkna;30103775;30017476
S.K.'s Dirty Trick;S.K.'s Dirty Trick;30094125;126506
Sager'n;Sager'n;30083475;122970
Sagi Per;Sagi Per;30120956;125767
Samantha Frecel;Samantha Frecel;30103385;30103386
Sambo Ø.K.;Sambo Ø.K.;30104619;132761
Sandephillip;Sandephillip;30090789;30017598
Sappho Wiking;Sappho Wiking;30097449;30085879
Scaredvalley Supreme;Scaredvalley Supreme;30103745;30027459
Secret Snap;Secret Snap;30103737;30095112
Seemybackshoes;Seemybackshoes;30100980;30084072
Select Step;Select Step ;30119991;30009666
Shadows Yankee;Shadows Yankee;30104594;30009185
Silke Diamant;Silke Diamant;30110091;30068657
Silversmith A.C.;Silversmith A.C. ;30114959;120128
Simsalabimmyheart;Simsalabimmyheart;30118240;30063707
Sir M.M.;Sir M.M.;30120055;30075976
Sirikit;Sirikit;30084248;30008758
Sirius Djerv;Sirius Djerv;30104189;30094052
Sister of Mercy;Sister of Mercy ;30119347;115334
Sitje Rapp;Sitje Rapp;30087897;30098952
Sitje Victor;Sitje Victor;30109584;30104326
Sjøli Rauen;Sjøli Rauen;30105034;30105035
Skar Marko;Skar Marko;30105233;30021327
Skeie Ida;Skeie Ida;30098178;30089537
Skeie Sotå;Skeie Sotå;30083035;30083036
Skinnarsbacks Saga;Skinnarsbacks Saga;30120010;30082251
Skøy Oda;Skøy Oda;30103933;30082051
Slotts Grond;Slotts Grond;30119926;30055847
Slått Stjernen;Slått Stjernen;30099307;30056544
Smygens Maja;Smygens Maja;30107457;30098600
Sogns Basse;Sogns Basse;30104907;30056065
Solan Borken;Solan Borken;30104395;30098559
Solhaug Tyrion;Solhaug Tyrion;30103293;129298
Solina;Solina;30103778;30103143
Solmann;Solmann;30105315;41349
Solmyr Arvid;Solmyr Arvid;30096908;30104784
Solveig Salt;Solveig Salt;30105779;30056248
Soma Dronninga;Soma Dronninga;30103885;30096925
Soma Kongen;Soma Kongen;30103886;30096925
Somewifesomewhere;Somewifesomewhere ;30119962;30097465
Son Of Sizzling;Son Of Sizzling;30103489;30008392
Song Of Eline;Song Of Eline;30109856;30105935
Song Of Rat Pack;Song Of Rat Pack;30109294;123532
Sono di Pa;Sono di Pa;30118242;30076502
Sorella Rick;Sorella Rick;30120471;30055300
Spang Linsi;Spang Linsi;30092489;30041211
Spang Turbo;Spang Turbo;30109331;30104843
Spang Vinriga;Spang Vinriga;30103488;30053944
Sparkling Credit;Sparkling Credit;30094044;30094197
Sphinx d'Inverne;Sphinx d'Inverne;30121496;30092860
Spik Lotta;Spik Lotta;30068020;30098980
Spot On;Spot On;30104610;30060271
St. Maxime Decoy;St. Maxime Decoy;30107299;30089742
Star Commander;Star Commander;30121476;30078672
Starlight Morning;Starlight Morning;30094379;124083
Staro Key West;Staro Key West ;30119985;30025182
Staro Maverick;Staro Maverick;30120418;30035523
Starstrucked;Starstrucked;30104452;30057576
Starturn P.T.;Starturn P.T.;30103325;30013953
State of Indiana;State of Indiana ;30118926;30100317
Steine Solan;Steine Solan;30104816;30077243
Stensvik Tjorven;Stensvik Tjorven;30106572;30067050
Stjerne Bo;Stjerne Bo;30023323;30089453
Stjerne Tommy;Stjerne Tommy;30104173;30078247
Stjernediva;Stjernediva;30104360;30034139
Storeng Stili;Storeng Stili;30105998;30092086
Straight Life;Straight Life;30121090;30069362
Strong Case;Strong Case;30099303;30094432
Sture Vikki;Sture Vikki;30087769;126204
Sundi;Sundi;30104401;131615
Super Rolling;Super Rolling;30093745;122185
Superb Story;Superb Story;30103948;30009745
Svanskog Tösen;Svanskog Tösen;30119262;30085774
Svindyr;Svindyr;30104838;30005490
Sweet Lins;Sweet Lins;30105213;30069362
Sycamore Broline;Sycamore Broline;30113813;30106846
Sylv Svarta;Sylv Svarta;30082508;30087855
Symphonie H.;Symphonie H.;30121778;30067552
Synjo Danseur;Synjo Danseur;30107018;30092781
Sølljerva;Sølljerva;30103222;30077462
Søta Ø.K.;Søta Ø.K.;30103788;30088162
T.B.'s Trøll Scott;T.B.'s Trøll Scott;30092770;30087947
T.K. Torden;T.K. Torden;30088909;30098439
Talomen Ø.K.;Talomen Ø.K.;30082226;30097250
Tangen Piril;Tangen Piril;30084062;30036573
Tangen Ternar;Tangen Ternar;30104977;127447
Tangen Tulla;Tangen Tulla;30103475;120370
Tango Face;Tango Face;30120928;30084939
Tao Elda;Tao Elda;30036339;30020578
Tarragon Tabac;Tarragon Tabac;30118451;30066316
Tayno Rosemary;Tayno Rosemary;30106294;30074223
Tekno Teddy;Tekno Teddy;30088896;30036347
Teknodiva;Teknodiva;30106667;30088190
Tembrik;Tembrik;30104954;30038402
Thai Athena;Thai Athena;30104819;30025469
Thai Daphne;Thai Daphne;30104126;30088570
Thai Eros;Thai Eros;30102505;30093021
Thai Paradise;Thai Paradise;30096987;30104654
The Best Knight;The Best Knight;30091013;30084068
The Normal One;The Normal One;30103301;30116904
Thunderbird;Thunderbird;30103324;30093213
Thundering Lover;Thundering Lover ;30119390;112281
Tib Roxanne;Tib Roxanne;30105096;124530
Tiffany Yellow;Tiffany Yellow;30098498;30029718
Tilly Queen S.O.;Tilly Queen S.O.;30104991;30111990
Time Bandit;Time Bandit;30105211;30077323
Tin Ada;Tin Ada;30104327;30034265
Tiptoe;Tiptoe;30099274;30092059
Tiras Hellina T.G.;Tiras Hellina T.G.;30104415;30038670
Titan Tabac;Titan Tabac;30073328;30118451
Titana Voice;Titana Voice;30087909;30097525
Titanio;Titanio ;30101812;30095267
To Be A Star;To Be A Star;30098417;30095244
Top Secret Face;Top Secret Face;30120929;30065320
Tornado Jet;Tornado Jet;30117430;30019042
Tors Spik;Tors Spik;30115803;131479
Tourmalet;Tourmalet;30120230;30020841
Tourzo;Tourzo;30121131;30116474
Transcendence;Transcendence;30121886;30079158
Troll;Troll;30093408;126211
Troll Lotta;Troll Lotta;30087848;30051301
Troll Solen;Troll Solen;30089137;30089135
Troll Sterk Solan;Troll Sterk Solan;30103263;30092573
Troll Sterk Viking;Troll Sterk Viking;30092573;30103263
Trytobe;Trytobe;30099668;30053564
Tverdals Odin;Tverdals Odin;30109578;30053953
Twist'n Shout;Twist'n Shout;30118449;128778
Tyfon Brodde;Tyfon Brodde;30121467;30089578
Tyholt Frøkna;Tyholt Frøkna;30104472;30094005
Tøffå Ø.K.;Tøffå Ø.K.;30103789;30082223
Tåga Viktor;Tåga Viktor;30118911;30097295
Uberg Jerken;Uberg Jerken;30104681;30022989
Ulvenblesen;Ulvenblesen;30105188;25812
Under;Under;30103815;30053496
Uppers Unbeatable;Uppers Unbeatable;30113231;30054441
Upstart at Home;Upstart at Home ;30119983;30113215
Urra' Del Rio;Urra' Del Rio ;30118382;30083548
Valiant Dalimo;Valiant Dalimo;30118006;116262
Valle Frøya;Valle Frøya;30103653;30030797
Valle Grim;Valle Grim;30093624;133108
Valle Storm;Valle Storm;30088588;30071347
Valle Tekla;Valle Tekla;30093620;30088477
Valle Tord;Valle Tord;30104431;130250
Valter L.P.C.;Valter L.P.C.;30121888;30088522
Veels Pålle;Veels Pålle;30066787;30033752
Velvatter;Velvatter ;30117965;30045018
Vendace;Vendace ;30119467;30051055
Vertigo Juvel;Vertigo Juvel;30110396;132919
Vertigo Rubin;Vertigo Rubin;30109252;30056464
Vicilane;Vicilane;30105906;30089783
Vicky Vici;Vicky Vici;30107224;30038422
Vikens Dome;Vikens Dome;30121880;30078682
Viking Ivi;Viking Ivi;30092913;30077289
Viktor på Knecken;Viktor på Knecken;30121019;30086708
Ville Vici;Ville Vici;30103952;30058504
Vimse Oda;Vimse Oda;30104331;30055485
Vincent Zaz;Vincent Zaz;30121885;30090535
Voje Eldin;Voje Eldin;30104940;30038423
Voje Maren;Voje Maren;30097474;30092690
Voje Piril;Voje Piril;30103616;30077378
Værdalskongen;Værdalskongen;30104667;30066906
Västerbo Amaretto;Västerbo Amaretto;30121028;30091022
Västerbo Respect;Västerbo Respect;30113815;30101999
Våril Blæsa;Våril Blæsa;30103439;30066534
Watchdog;Watchdog;30120026;30023656
Wayward;Wayward;30054533;30103740
Welcome Malcolm;Welcome Malcolm;30105234;30093219
Wessel Odina;Wessel Odina;30110669;30016885
Wiggle It Jiggleit;Wiggle It Jiggleit;30104432;30056046
Will Kvikk;Will Kvikk;30104393;30088611
Will Power;Will Power ;30118742;30088611
William Viking;William Viking;30103883;118210
Willmin;Willmin;30103260;30089118
World Peace;World Peace;30094233;30091002
Yaganashi;Yaganashi;30120235;30089190
Yarrah;Yarrah;30107322;30093270
Zeb Macay;Zeb Macay;30120370;30089855
Zenato;Zenato;30099116;30082511
Zorbas Rose;Zorbas Rose;30094075;30087877
Zulu Mai;Zulu Mai;30092740;113277
Aaby Knekten;Aaby Knekten;132424;30004822
Ådne Kommandør;Ådne Kommandør;30064304;30039775
Ådne Odin;Ådne Odin;30087899;123385
Årdals Blesa;Årdals Blesa;30083497;30082144
Årsvoll Prinsen;Årsvoll Prinsen;30035326;30051614
Ås Kvikken;Ås Kvikken;30083000;30086565
Åsa O.K.;Åsa O.K.;30097527;30082320
Åsajerkeld;Åsajerkeld;30105025;30022969
Åsaoline;Åsaoline;30089544;30103143
Åse Elden;Åse Elden;30077478;30006644
Åse Jenta;Åse Jenta;30093313;30036242
Åse Mai;Åse Mai;30088940;126438
Åse Sannejentå;Åse Sannejentå;30103932;30006644
Åse Sannejentå;Åse Sannejentå;30103932;30093313
Åspe Mix;Åspe Mix;30056308;133703
Åspe Prinsen;Åspe Prinsen;30067696;30070753
Åsrud Rappa;Åsrud Rappa;30076658;30034769
Åsrud Teddy;Åsrud Teddy;30098419;30020836
Åsrud Vilja;Åsrud Vilja;30066244;30021577
