 Jarlsberg-travbane; Fredag, 3. aug 2018
 Jarlsberg-travbane;Mandag, 9. jul 2018
 Jarlsberg-travbane;Søndag, 8. jul 2018
 Jarlsberg-travbane;Lørdag, 7. jul 2018
 Jarlsberg-travbane; Fredag, 6. jul 2018
 Jarlsberg-travbane;Torsdag, 5. jul 2018
 Jarlsberg-travbane;Mandag, 25. jun 2018
 Jarlsberg-travbane;Mandag, 18. jun 2018
 Jarlsberg-travbane; Onsdag, 13. jun 2018
 Jarlsberg-travbane;Mandag, 11. jun 2018
 Jarlsberg-travbane;Fredag, 1. jun 2018
 Jarlsberg-travbane;Torsdag, 24. mai 2018
 Jarlsberg-travbane; Lørdag, 19. mai 2018
 Jarlsberg-travbane;Fredag, 4. mai 2018
 Jarlsberg-travbane;Fredag, 27. apr 2018
 Jarlsberg-travbane;Søndag, 22. apr 2018
 Jarlsberg-travbane; Fredag, 13. apr 2018
 Jarlsberg-travbane;Onsdag, 28. mar 2018
 Jarlsberg-travbane;Søndag, 25. mar 2018
 Jarlsberg-travbane;Fredag, 16. mar 2018
 Jarlsberg-travbane; Fredag, 2. mar 2018
 Jarlsberg-travbane;Lørdag, 17. feb 2018
 Jarlsberg-travbane;Fredag, 2. feb 2018
 Jarlsberg-travbane;Fredag, 19. jan 2018
 Jarlsberg-travbane; Lørdag, 13. jan 2018
 Jarlsberg-travbane;Fredag, 5. jan 2018
 Jarlsberg-travbane;Onsdag, 27. des 2017
 Jarlsberg-travbane;Søndag, 10. des 2017
 Jarlsberg-travbane; Fredag, 1. des 2017
 Jarlsberg-travbane;Lørdag, 25. nov 2017
 Jarlsberg-travbane;Fredag, 17. nov 2017
 Jarlsberg-travbane;Fredag, 3. nov 2017
 Jarlsberg-travbane; Fredag, 27. okt 2017
 Jarlsberg-travbane;Søndag, 15. okt 2017
 Jarlsberg-travbane;Lørdag, 30. sept 2017
 Jarlsberg-travbane;Fredag, 22. sept 2017
 Jarlsberg-travbane; Tirsdag, 12. sept 2017
 Jarlsberg-travbane;Søndag, 27. aug 2017
 Jarlsberg-travbane;Fredag, 18. aug 2017
 Jarlsberg-travbane;Fredag, 4. aug 2017
 Jarlsberg-travbane; Torsdag, 13. jul 2017
 Jarlsberg-travbane;Søndag, 9. jul 2017
 Jarlsberg-travbane;Lørdag, 8. jul 2017
 Jarlsberg-travbane;Fredag, 7. jul 2017
 Jarlsberg-travbane; Torsdag, 6. jul 2017
 Jarlsberg-travbane;Mandag, 26. jun 2017
 Jarlsberg-travbane;Mandag, 19. jun 2017
 Jarlsberg-travbane;Fredag, 16. jun 2017
 Jarlsberg-travbane; Mandag, 12. jun 2017
 Jarlsberg-travbane;Fredag, 9. jun 2017
 Jarlsberg-travbane;Fredag, 26. mai 2017
 Jarlsberg-travbane;Lørdag, 20. mai 2017
 Jarlsberg-travbane; Fredag, 12. mai 2017
 Jarlsberg-travbane;Fredag, 5. mai 2017
 Jarlsberg-travbane;Fredag, 28. apr 2017
 Jarlsberg-travbane;Torsdag, 20. apr 2017
 Jarlsberg-travbane; Torsdag, 6. apr 2017
 Jarlsberg-travbane;Fredag, 31. mar 2017
 Jarlsberg-travbane;Søndag, 26. mar 2017
 Jarlsberg-travbane;Fredag, 17. mar 2017
 Jarlsberg-travbane; Fredag, 24. feb 2017
 Jarlsberg-travbane;Fredag, 17. feb 2017
 Jarlsberg-travbane;Fredag, 3. feb 2017
 Jarlsberg-travbane;Torsdag, 26. jan 2017
 Jarlsberg-travbane; Fredag, 20. jan 2017
 Jarlsberg-travbane;Torsdag, 19. jan 2017
 Jarlsberg-travbane;Lørdag, 14. jan 2017
 Jarlsberg-travbane;Torsdag, 5. jan 2017
 Jarlsberg-travbane; Søndag, 1. jan 2017
 Jarlsberg-travbane;Fredag, 23. des 2016
 Jarlsberg-travbane;Søndag, 11. des 2016
 Jarlsberg-travbane;Søndag, 4. des 2016
 Jarlsberg-travbane; Tirsdag, 29. nov 2016
 Jarlsberg-travbane;Lørdag, 26. nov 2016
 Jarlsberg-travbane;Tirsdag, 22. nov 2016
 Jarlsberg-travbane;Fredag, 11. nov 2016
 Jarlsberg-travbane; Fredag, 4. nov 2016
 Jarlsberg-travbane;Lørdag, 29. okt 2016
 Jarlsberg-travbane;Fredag, 21. okt 2016
 Jarlsberg-travbane;Fredag, 7. okt 2016
 Jarlsberg-travbane; Fredag, 30. sept 2016
 Jarlsberg-travbane;Mandag, 19. sept 2016
 Jarlsberg-travbane;Lørdag, 3. sept 2016
 Jarlsberg-travbane;Tirsdag, 23. aug 2016
 Jarlsberg-travbane; Fredag, 19. aug 2016
 Jarlsberg-travbane;Fredag, 12. aug 2016
 Jarlsberg-travbane;Tirsdag, 9. aug 2016
 Jarlsberg-travbane;Fredag, 5. aug 2016
 Jarlsberg-travbane; Søndag, 10. jul 2016
 Jarlsberg-travbane;Lørdag, 9. jul 2016
 Jarlsberg-travbane;Fredag, 8. jul 2016
 Jarlsberg-travbane;Torsdag, 7. jul 2016
 Jarlsberg-travbane; Fredag, 1. jul 2016
 Jarlsberg-travbane;Mandag, 27. jun 2016
 Jarlsberg-travbane;Mandag, 20. jun 2016
 Jarlsberg-travbane;Onsdag, 15. jun 2016
 Jarlsberg-travbane; Torsdag, 2. jun 2016
 Jarlsberg-travbane;Tirsdag, 24. mai 2016
 Jarlsberg-travbane;Lørdag, 21. mai 2016
 Jarlsberg-travbane;Fredag, 13. mai 2016
 Jarlsberg-travbane; Søndag, 8. mai 2016
 Jarlsberg-travbane;Fredag, 29. apr 2016
 Jarlsberg-travbane;Søndag, 24. apr 2016
 Jarlsberg-travbane;Fredag, 15. apr 2016
 Jarlsberg-travbane; Tirsdag, 29. mar 2016
 Jarlsberg-travbane;Søndag, 20. mar 2016
 Jarlsberg-travbane;Tirsdag, 8. mar 2016
 Jarlsberg-travbane;Fredag, 5. feb 2016
 Jarlsberg-travbane; Fredag, 22. jan 2016
 Jarlsberg-travbane;Lørdag, 16. jan 2016
 Jarlsberg-travbane;Fredag, 8. jan 2016
 Jarlsberg-travbane;Tirsdag, 5. jan 2016
 Jarlsberg-travbane; Fredag, 1. jan 2016
 Jarlsberg-travbane;Søndag, 20. des 2015
 Jarlsberg-travbane;Fredag, 11. des 2015
 Jarlsberg-travbane;Lørdag, 5. des 2015
 Jarlsberg-travbane; Fredag, 27. nov 2015
 Jarlsberg-travbane;Fredag, 13. nov 2015
 Jarlsberg-travbane;Lørdag, 7. nov 2015
 Jarlsberg-travbane;Tirsdag, 3. nov 2015
 Jarlsberg-travbane; Fredag, 30. okt 2015
 Jarlsberg-travbane;Fredag, 23. okt 2015
 Jarlsberg-travbane;Søndag, 11. okt 2015
 Jarlsberg-travbane;Lørdag, 3. okt 2015
 Jarlsberg-travbane; Fredag, 18. sept 2015
 Jarlsberg-travbane;Torsdag, 3. sept 2015
 Jarlsberg-travbane;Søndag, 30. aug 2015
 Jarlsberg-travbane;Fredag, 21. aug 2015
 Jarlsberg-travbane; Fredag, 7. aug 2015
 Jarlsberg-travbane;Søndag, 5. jul 2015
 Jarlsberg-travbane;Lørdag, 4. jul 2015
 Jarlsberg-travbane;Fredag, 3. jul 2015
 Jarlsberg-travbane; Torsdag, 2. jul 2015
 Jarlsberg-travbane;Mandag, 22. jun 2015
 Jarlsberg-travbane;Torsdag, 18. jun 2015
 Jarlsberg-travbane;Fredag, 12. jun 2015
 Jarlsberg-travbane; Fredag, 29. mai 2015
 Jarlsberg-travbane;Lørdag, 23. mai 2015
 Jarlsberg-travbane;Fredag, 8. mai 2015
 Jarlsberg-travbane;Søndag, 3. mai 2015
 Jarlsberg-travbane; Søndag, 26. apr 2015
