Rodney Allen,U S A,All Ro,Nei,U.S.A.,Proff trener A; trene og kjøre
Linda Allercrantz,SVERIGE,All Li,Nei,Halmstad,Stallansatt; trene og kjøre
Jens Alm,NORGE,Alm Je,Ja,Bjerke Travbane,Amatør; trene og kjøre
Berit Tveter Alm,NORGE,Be Alm,Ja,Biri Travbane,Amatør; trene og kjøre
Kristin Alm,NORGE,Kr Alm,Ja,Drammen Travbane,Amatør; trene og kjøre
Lina Alm,SVERIGE,Alm Li,Ja,Ukjent bane,Amatør; trene og kjøre
Kjell Alme,NORGE,Kj Alm,Ja,Bjerke Travbane,Amatør; trene og kjøre
Ulf Alme,NORGE,Ul Alm,Ja,Bjerke Travbane,Amatør; trene og kjøre
Claes Almén,SVERIGE,Alm Cl,Ja,Gävle,Amatør utenlandsk; trene og kjøre
Ulrika Almkvist,SVERIGE,Alm Ul,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Jannike Almsgård,SVERIGE,Alm Ja,Nei,Östersund,Stallansatt; trene og kjøre
Jannike Almsgård,SVERIGE,Alm Ja,Nei,Ukjent bane,Stallansatt; trene og kjøre
Camilla Alsen,SVERIGE,Als Ca,Ja,Ukjent bane,Amatør; trene og kjøre
Olle Alsen,SVERIGE,Ol Als,Nei,Ukjent bane,Proff trener A; trene og kjøre
Olle Alsén,SVERIGE,Als Ol,Nei,Gävle,Proff trener A; trene og kjøre
Øystein Amdal,NORGE,Øy Amd,Ja,Forus Travbane,Amatør; trene og kjøre
Afsoon Amirfallah,TYSKLAND,Af Ami,Nei,TYSKLAND,Stallansatt; trene og kjøre
Victoria Amundsen,NORGE,Amu Vi,Ja,Ukjent bane,Prøvekjører; kjøre
Roger Anderberg,SVERIGE,Ro And,Ja,Ukjent bane,Amatør; trene og kjøre
Morten Andersen,DANMARK,And Mo,Ja,Ukjent bane,Amatør; trene og kjøre
Eigil Andersen,DANMARK,And Ei,Ja,Ukjent bane,Amatør; trene og kjøre
Kasper K. Andersen,DANMARK,And KK,Ja,Ukjent bane,Amatør; trene og kjøre
Reidar Andersen,NORGE,Re And,Ja,Momarken Travbane,Amatør; trene og kjøre
Anette Andersen,NORGE,An And,Ja,Sørlandets Travpark,Amatør; trene og kjøre
Anders Andersen,NORGE,An And,Nei,Klosterskogen Travbane,Proff trener A; trene og kjøre
Troels Andersen,DANMARK,Tr And,Nei,DANMARK,Stallansatt; trene og kjøre
Nicolaj Andersen,DANMARK,Ni And,Nei,DANMARK,Proff trener A; trene og kjøre
Hans Even Andersen,NORGE,Ha And,Ja,Klosterskogen Travbane,Amatør; trene og kjøre
Per Åge Andersen,NORGE,Pe And,Nei,Momarken Travbane,Stallansatt; trene og kjøre
Kåre Andersen,NORGE,Kå And,Nei,Jarlsberg Travbane,Proff trener A; trene og kjøre
Pauli Andersen,DANMARK,Pa And,Nei,DANMARK,Proff trener A; trene og kjøre
Susanne Andersen,NORGE,And Su,Ja,Bergen Travpark,Prøvekjører; kjøre
Søren Demant Andersen,DANMARK,And SD,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Kasper K. Andersen,DANMARK,And KK,Ja,Ukjent bane,Amatør; trene og kjøre
Kenneth Andersen,DANMARK,And Ke,Nei,Ukjent bane,Stallansatt; trene og kjøre
Bente Vester Andersen,DANMARK,And BV,Ja,Ukjent bane,Amatør; trene og kjøre
Christian Andersen,DANMARK,And Ch,Ja,Ukjent bane,Amatør; trene og kjøre
Hanne Kristin Andersen,NORGE,And HK,Ja,Drammen Travbane,Prøvekjører; kjøre
Ida-Helen M. Andersen,NORGE,And IH,Ja,Sørlandets Travpark,Prøvekjører; kjøre
Jesper Z. Andersen,DANMARK,And JZ,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Peter Ø. Andersen,DANMARK,And PØ,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Troels Andersen,SVERIGE,And Tr,Nei,Ukjent bane,Proff trener A; trene og kjøre
Karsten Skygge Andersen,DANMARK,And KS,Ja,Ukjent bane,Amatør; trene og kjøre
Thomas Demant Andersen,DANMARK,And TD,Ja,Ukjent bane,Amatør; trene og kjøre
Camilla Andersen,DANMARK,And Ca,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Trond Anderssen,NORGE,Tr And,Nei,Drammen Travbane,Proff trener A; trene og kjøre
Ulf C. Andersson,SVERIGE,Ul And,Nei,SVERIGE,Stallansatt; trene og kjøre
Andreas Andersson,SVERIGE,An And,Nei,SVERIGE,Stallansatt; trene og kjøre
Bengt Andersson,SVERIGE,Be And,Nei,SVERIGE,Stallansatt; trene og kjøre
Tomas Andersson,SVERIGE,To And,Nei,SVERIGE,Proff trener A; trene og kjøre
Tomas S. Andersson,SVERIGE,To And,Nei,SVERIGE,Stallansatt; trene og kjøre
Caroline Andersson,SVERIGE,Ca And,Nei,SVERIGE,Stallansatt; trene og kjøre
Sam Andersson,SVERIGE,Sa And,Ja,Ukjent bane,Amatør; trene og kjøre
Mats Andersson,SVERIGE,Ma And,Nei,SVERIGE,Proff trener A; trene og kjøre
Mikael J. Andersson,SVERIGE,Mi And,Nei,SVERIGE,Proff trener A; trene og kjøre
Tommy B. Andersson,SVERIGE,To And,Nei,SVERIGE,Proff trener A; trene og kjøre
Nils Ola Andersson,SVERIGE,Ni And,Nei,SVERIGE,Proff trener A; trene og kjøre
Ove R. Andersson,SVERIGE,Ov And,Nei,SVERIGE,Proff trener A; trene og kjøre
Anders Andersson,NORGE,An And,Nei,SVERIGE,Stallansatt; trene og kjøre
Carl-Erik Andersson,SVERIGE,Ca And,Ja,Ukjent bane,Amatør; trene og kjøre
Christer O. Andersson,SVERIGE,Ch And,Ja,Ukjent bane,Amatør; trene og kjøre
Robert Andersson,SVERIGE,And Ro,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Leif Andersson,SVERIGE,Le And,Ja,Åby,Amatør; trene og kjøre
Roger Andersson,SVERIGE,Ro And,Ja,Ukjent bane,Amatør; trene og kjøre
Patrik Andersson,SVERIGE,Pa And,Nei,SVERIGE,Proff trener A; trene og kjøre
Jan P. Andersson,SVERIGE,Ja And,Nei,SVERIGE,Stallansatt; trene og kjøre
Stefan Andersson,SVERIGE,And St,Ja,Ukjent bane,Amatør; trene og kjøre
Benny Andersson,SVERIGE,And Be,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Therese Andersson,SVERIGE,And Th,Ja,Ukjent bane,Amatør; trene og kjøre
Mikael M. Andersson,SVERIGE,Mi And,Nei,SVERIGE,Stallansatt; trene og kjøre
Jimmy Andersson,SVERIGE,Ji And,Nei,Ukjent bane,Stallansatt; trene og kjøre
Roger Z. Andersson,SVERIGE,Ro And,Nei,SVERIGE,Stallansatt; trene og kjøre
Peter M. Andersson,SVERIGE,Pe And,Nei,SVERIGE,Stallansatt; trene og kjøre
Sara Andersson,SVERIGE,Sa And,Ja,SVERIGE,Amatør; trene og kjøre
Alexander Andersson,SVERIGE,And Al,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Ruth J. Andersson,SVERIGE,And RJ,Ja,Ukjent bane,Amatør; trene og kjøre
Oskar Andersson,SVERIGE,And Os,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Monica Andersson,SVERIGE,And Mo,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Clas Göran Andersson,SVERIGE,And CG,Ja,Solvalla,Amatør utenlandsk; trene og kjøre
Rolf Andersson,SVERIGE,And Ro,Ja,Ukjent bane,Amatør; trene og kjøre
Eva Andersson,SVERIGE,And Ev,Nei,Ukjent bane,Stallansatt; trene og kjøre
Gunnar S. Andersson,SVERIGE,And GS,Ja,Ukjent bane,Amatør; trene og kjøre
Patrik O. Andersson,SVERIGE,And PO,Nei,Ukjent bane,Proff trener A; trene og kjøre
Elaine Andersson,SVERIGE,And El,Ja,Ukjent bane,Amatør; trene og kjøre
Jimmy H. Andersson,SVERIGE,And JH,Ja,Ukjent bane,Amatør; trene og kjøre
Magnus L. Andersson,SVERIGE,And ML,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Conny H. Andersson,SVERIGE,And CH,Ja,Ukjent bane,Amatør; trene og kjøre
Malin Andersson,SVERIGE,And Ma,Ja,Ukjent bane,Amatør; trene og kjøre
Mats L. Andersson,SVERIGE,And ML,Ja,Ukjent bane,Amatør; trene og kjøre
Anton Andersson,SVERIGE,And An,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Caroline Andersson,SVERIGE,And Ca,Nei,Bergsåker,Stallansatt; trene og kjøre
