 Bjerke-Travbane; Torsdag, 31. des 2020
 Bjerke-Travbane;Onsdag, 30. des 2020
 Bjerke-Travbane;Tirsdag, 22. des 2020
 Bjerke-Travbane;Lørdag, 19. des 2020
 Bjerke-Travbane; Tirsdag, 15. des 2020
 Bjerke-Travbane;Torsdag, 10. des 2020
 Bjerke-Travbane;Tirsdag, 8. des 2020
 Bjerke-Travbane;Tirsdag, 1. des 2020
 Bjerke-Travbane; Tirsdag, 24. nov 2020
 Bjerke-Travbane;Tirsdag, 17. nov 2020
 Bjerke-Travbane;Lørdag, 14. nov 2020
 Bjerke-Travbane;Onsdag, 11. nov 2020
 Bjerke-Travbane; Onsdag, 4. nov 2020
 Bjerke-Travbane;Onsdag, 28. okt 2020
 Bjerke-Travbane;Onsdag, 21. okt 2020
 Bjerke-Travbane;Onsdag, 14. okt 2020
 Bjerke-Travbane; Onsdag, 7. okt 2020
 Bjerke-Travbane;Onsdag, 30. sept 2020
 Bjerke-Travbane;Onsdag, 23. sept 2020
 Bjerke-Travbane;Onsdag, 16. sept 2020
 Bjerke-Travbane; Søndag, 13. sept 2020
 Bjerke-Travbane;Lørdag, 12. sept 2020
 Bjerke-Travbane;Fredag, 11. sept 2020
 Bjerke-Travbane;Onsdag, 9. sept 2020
 Bjerke-Travbane; Onsdag, 2. sept 2020
 Bjerke-Travbane;Fredag, 28. aug 2020
 Bjerke-Travbane;Torsdag, 27. aug 2020
 Bjerke-Travbane;Onsdag, 26. aug 2020
 Bjerke-Travbane; Lørdag, 22. aug 2020
 Bjerke-Travbane;Tirsdag, 18. aug 2020
 Bjerke-Travbane;Onsdag, 12. aug 2020
 Bjerke-Travbane;Tirsdag, 11. aug 2020
 Bjerke-Travbane; Mandag, 10. aug 2020
 Bjerke-Travbane;Onsdag, 5. aug 2020
 Bjerke-Travbane;Mandag, 3. aug 2020
 Bjerke-Travbane;Onsdag, 29. jul 2020
 Bjerke-Travbane; Mandag, 27. jul 2020
 Bjerke-Travbane;Onsdag, 22. jul 2020
 Bjerke-Travbane;Mandag, 20. jul 2020
 Bjerke-Travbane;Onsdag, 15. jul 2020
 Bjerke-Travbane; Onsdag, 8. jul 2020
 Bjerke-Travbane;Mandag, 6. jul 2020
 Bjerke-Travbane;Søndag, 14. jun 2020
 Bjerke-Travbane;Lørdag, 13. jun 2020
 Bjerke-Travbane; Onsdag, 10. jun 2020
 Bjerke-Travbane;Mandag, 8. jun 2020
 Bjerke-Travbane;Onsdag, 3. jun 2020
 Bjerke-Travbane;Lørdag, 30. mai 2020
 Bjerke-Travbane; Onsdag, 27. mai 2020
 Bjerke-Travbane;Lørdag, 23. mai 2020
 Bjerke-Travbane;Onsdag, 20. mai 2020
 Bjerke-Travbane;Onsdag, 13. mai 2020
 Bjerke-Travbane; Mandag, 11. mai 2020
 Bjerke-Travbane;Onsdag, 6. mai 2020
 Bjerke-Travbane;Onsdag, 22. apr 2020
 Bjerke-Travbane;Torsdag, 19. mar 2020
 Bjerke-Travbane; Onsdag, 18. mar 2020
 Bjerke-Travbane;Onsdag, 11. mar 2020
 Bjerke-Travbane;Torsdag, 5. mar 2020
 Bjerke-Travbane;Onsdag, 4. mar 2020
 Bjerke-Travbane; Onsdag, 26. feb 2020
 Bjerke-Travbane;Lørdag, 22. feb 2020
 Bjerke-Travbane;Onsdag, 19. feb 2020
 Bjerke-Travbane;Søndag, 16. feb 2020
 Bjerke-Travbane; Torsdag, 13. feb 2020
 Bjerke-Travbane;Onsdag, 12. feb 2020
 Bjerke-Travbane;Søndag, 9. feb 2020
 Bjerke-Travbane;Torsdag, 6. feb 2020
 Bjerke-Travbane; Onsdag, 5. feb 2020
 Bjerke-Travbane;Onsdag, 29. jan 2020
 Bjerke-Travbane;Torsdag, 23. jan 2020
 Bjerke-Travbane;Onsdag, 22. jan 2020
 Bjerke-Travbane; Lørdag, 18. jan 2020
 Bjerke-Travbane;Onsdag, 15. jan 2020
 Bjerke-Travbane;Onsdag, 8. jan 2020
 Bjerke-Travbane;Torsdag, 2. jan 2020
 Bjerke-Travbane; Onsdag, 1. jan 2020
 Bjerke-Travbane;Mandag, 30. des 2019
 Bjerke-Travbane;Torsdag, 26. des 2019
 Bjerke-Travbane;Torsdag, 19. des 2019
 Bjerke-Travbane; Onsdag, 18. des 2019
 Bjerke-Travbane;Lørdag, 14. des 2019
 Bjerke-Travbane;Onsdag, 11. des 2019
 Bjerke-Travbane;Onsdag, 4. des 2019
 Bjerke-Travbane; Onsdag, 27. nov 2019
 Bjerke-Travbane;Onsdag, 20. nov 2019
 Bjerke-Travbane;Lørdag, 16. nov 2019
 Bjerke-Travbane;Onsdag, 13. nov 2019
 Bjerke-Travbane; Onsdag, 6. nov 2019
 Bjerke-Travbane;Onsdag, 30. okt 2019
 Bjerke-Travbane;Onsdag, 23. okt 2019
 Bjerke-Travbane;Onsdag, 16. okt 2019
 Bjerke-Travbane; Onsdag, 9. okt 2019
 Bjerke-Travbane;Onsdag, 2. okt 2019
 Bjerke-Travbane;Onsdag, 25. sept 2019
 Bjerke-Travbane;Torsdag, 19. sept 2019
 Bjerke-Travbane; Onsdag, 18. sept 2019
 Bjerke-Travbane;Onsdag, 11. sept 2019
 Bjerke-Travbane;Søndag, 8. sept 2019
 Bjerke-Travbane;Lørdag, 7. sept 2019
 Bjerke-Travbane; Fredag, 6. sept 2019
 Bjerke-Travbane;Onsdag, 4. sept 2019
 Bjerke-Travbane;Onsdag, 28. aug 2019
 Bjerke-Travbane;Tirsdag, 27. aug 2019
 Bjerke-Travbane; Mandag, 26. aug 2019
